tau	g_0_tau_up
0.5	(-0.3468430257999906+1.0516761073109393e-17j)
1.0	(-0.13540444159593568+5.5294310796760726e-18j)
1.5	(-0.0483707156818136-4.662069341687669e-18j)
2.0	(-0.013926983500935599-5.637851296924623e-18j)
2.5	(-0.00076591323147456-2.2768245622195593e-18j)
3.0	(0.003932760133125171-1.6805133673525319e-18j)
3.5	(0.005335777285205509-5.963111948670274e-19j)
4.0	(0.005502921777973059-1.3552527156068805e-18j)
4.5	(0.005243606506913679-4.607859233063394e-18j)
5.0	(0.0048678943913372345-7.589415207398531e-19j)
5.5	(0.004488588300552701-1.1384122811097797e-18j)
6.0	(0.0041420317015982274-1.5178830414797062e-18j)
6.5	(0.0038359964958047887+3.7947076036992655e-19j)
7.0	(0.0035683838856658883+9.215718466126788e-19j)
7.5	(0.003334325513213385+2.168404344971009e-19j)
8.0	(0.003128731180583335+2.168404344971009e-19j)
8.5	(0.0029470890395151125-2.168404344971009e-19j)
9.0	(0.0027856239255070183+2.0057740190981832e-18j)
9.5	(0.002641241407735271+1.5178830414797062e-18j)
10.0	(0.002511417116261628-1.3552527156068805e-18j)
10.5	(0.0023940866752458468+0j)
11.0	(0.002287552224248984+7.589415207398531e-19j)
11.5	(0.0021904075109405586-2.3852447794681098e-18j)
12.0	(0.002101479191645895-9.215718466126788e-19j)
12.5	(0.002019781127357758-5.963111948670274e-19j)
13.0	(0.001944478752863529-8.673617379884035e-19j)
13.5	(0.0018748611585347006-1.1926223897340549e-18j)
14.0	(0.0018103190661785842-7.589415207398531e-19j)
14.5	(0.0017503273240988804-4.87890977618477e-19j)
15.0	(0.0016944308877589053+1.0842021724855044e-19j)
15.5	(0.0016422335080197887+2.168404344971009e-19j)
16.0	(0.0015933885385309206+0j)
16.5	(0.0015475914143438163-5.421010862427522e-20j)
17.0	(0.0015045734582787196+1.6805133673525319e-18j)
17.5	(0.001464096749678262-7.589415207398531e-19j)
18.0	(0.0014259498489856434+1.1926223897340549e-18j)
18.5	(0.0013899442161864018-1.6805133673525319e-18j)
19.0	(0.001355911195235586+7.589415207398531e-19j)
19.5	(0.0013236994628122113+3.7947076036992655e-19j)
20.0	(0.001293172860091171+3.2526065174565133e-19j)
20.5	(0.001264208542091802+7.589415207398531e-19j)
21.0	(0.0012366953916289197+2.710505431213761e-19j)
21.5	(0.0012105326547666826+7.047314121155779e-19j)
22.0	(0.0011856287625031598+5.421010862427522e-20j)
22.5	(0.0011619003096974261+1.7889335846010823e-18j)
23.0	(0.0011392711672988845-3.7947076036992655e-19j)
23.5	(0.0011176717079970145+1.6263032587282567e-19j)
24.0	(0.0010970381287545273-1.0842021724855044e-18j)
24.5	(0.0010773118563696428+8.131516293641283e-19j)
25.0	(0.0010584390244269752-5.963111948670274e-19j)
25.5	(0.0010403700118426715+1.1926223897340549e-18j)
26.0	(0.0010230590347047928+6.505213034913027e-19j)
26.5	(0.0010064637843605942+7.589415207398531e-19j)
27.0	(0.0009905451057556302-5.421010862427522e-19j)
27.5	(0.0009752667109033499+9.215718466126788e-19j)
28.0	(0.0009605949230791259-5.963111948670274e-19j)
28.5	(0.0009464984479761732-1.0299920638612292e-18j)
29.0	(0.0009329481685615018-3.7947076036992655e-19j)
29.5	(0.0009199169608225188-2.710505431213761e-19j)
30.0	(0.0009073795279524861-4.87890977618477e-19j)
30.5	(0.0008953122508832133+6.505213034913027e-19j)
31.0	(0.0008836930532954868+6.505213034913027e-19j)
31.5	(0.0008725012795081212-1.1926223897340549e-18j)
32.0	(0.0008617175838369705+7.589415207398531e-19j)
32.5	(0.0008513238301839918-2.168404344971009e-19j)
33.0	(0.0008413030007775983-5.421010862427522e-20j)
33.5	(0.0008316391131040386+8.131516293641283e-19j)
34.0	(0.0008223171441827071+1.6263032587282567e-19j)
34.5	(0.0008133229614527527+1.1926223897340549e-18j)
35.0	(0.0008046432595934675+2.710505431213761e-19j)
35.5	(0.0007962655027117525+8.673617379884035e-19j)
36.0	(0.0007881778713566979+0j)
36.5	(0.0007803692139184213+4.336808689942018e-19j)
37.0	(0.0007728290019762109-1.0842021724855044e-19j)
37.5	(0.0007655472892414381-8.673617379884035e-19j)
38.0	(0.0007585146737658223-2.168404344971009e-19j)
38.5	(0.0007517222631082177+6.505213034913027e-19j)
39.0	(0.0007451616422046333+2.168404344971009e-19j)
39.5	(0.0007388248436939041+7.589415207398531e-19j)
40.0	(0.0007327043204973852-4.336808689942018e-19j)
40.5	(0.0007267929204423291-1.0842021724855044e-18j)
41.0	(0.0007210838627699234-4.336808689942018e-19j)
41.5	(0.0007155707163588045+1.3010426069826053e-18j)
42.0	(0.000710247379534828-1.0842021724855044e-18j)
42.5	(0.000705108061313447+4.336808689942018e-19j)
43.0	(0.000700147263994466+0j)
43.5	(0.0006953597669642587+6.505213034913027e-19j)
44.0	(0.0006907406116368781-4.336808689942018e-19j)
44.5	(0.0006862850874310069+1.0842021724855044e-19j)
45.0	(0.0006819887187141764-5.421010862427522e-19j)
45.5	(0.0006778472526284732-5.421010862427522e-19j)
46.0	(0.0006738566477377263-4.336808689942018e-19j)
46.5	(0.0006700130634463824-1.6263032587282567e-18j)
47.0	(0.0006663128501070543-1.734723475976807e-18j)
47.5	(0.0006627525397949472-5.421010862427522e-19j)
48.0	(0.0006593288376944525+1.1926223897340549e-18j)
48.5	(0.0006560386140263887-1.0842021724855044e-19j)
49.0	(0.0006528788965437082+5.421010862427522e-19j)
49.5	(0.0006498468634727214+5.421010862427522e-19j)
50.0	(0.0006469398369426889+5.421010862427522e-19j)
50.5	(0.0006441552768367719-5.421010862427522e-19j)
51.0	(0.0006414907750387634+1.0842021724855044e-18j)
51.5	(0.0006389440500501465-1.0842021724855044e-18j)
52.0	(0.0006365129419755695-2.3852447794681098e-18j)
52.5	(0.0006341954078192201-6.505213034913027e-19j)
53.0	(0.0006319895170965947+0j)
53.5	(0.0006298934477507051+2.3852447794681098e-18j)
54.0	(0.0006279054823232879+2.168404344971009e-19j)
54.5	(0.0006260240043981986-2.168404344971009e-19j)
55.0	(0.000624247495285134+3.0357660829594124e-18j)
55.5	(0.0006225745309395198-2.6020852139652106e-18j)
56.0	(0.0006210037790938619+2.3852447794681098e-18j)
56.5	(0.0006195339966131807-2.6020852139652106e-18j)
57.0	(0.0006181640270353477-1.951563910473908e-18j)
57.5	(0.0006168927983049056-6.505213034913027e-19j)
58.0	(0.0006157193206959501+1.3010426069826053e-18j)
58.5	(0.0006146426849030974-3.0357660829594124e-18j)
59.0	(0.0006136620602919017+8.673617379884035e-19j)
59.5	(0.0006127766933268866-8.673617379884035e-19j)
60.0	(0.0006119859061399789-6.071532165918825e-18j)
60.5	(0.0006112890952597852+3.903127820947816e-18j)
61.0	(0.0006106857304713936-2.6020852139652106e-18j)
61.5	(0.0006101753538374081-2.6020852139652106e-18j)
62.0	(0.0006097575788435211-2.6020852139652106e-18j)
62.5	(0.000609432089674637+2.0816681711721685e-17j)
63.0	(0.0006091986406421542-5.204170427930421e-17j)
63.5	(0.0006090570557251106+0j)
64.0	(0.0006090072282457147+2.220446049250313e-16j)
64.5	(0.0006090491206789719-1.6653345369377348e-16j)
65.0	(0.0006091827645737695+1.3877787807814457e-17j)
65.5	(0.0006094082606193075+6.938893903907228e-18j)
66.0	(0.0006097257788274749-2.6020852139652106e-18j)
66.5	(0.0006101355588423611-1.0408340855860843e-17j)
67.0	(0.0006106379103957879-2.168404344971009e-18j)
67.5	(0.0006112332138558194+6.938893903907228e-18j)
68.0	(0.0006119219209502064-2.168404344971009e-18j)
68.5	(0.000612704555603783+1.3010426069826053e-18j)
69.0	(0.0006135817149111865+2.6020852139652106e-18j)
69.5	(0.0006145540702549915+1.3010426069826053e-18j)
70.0	(0.00061562236856982-2.6020852139652106e-18j)
70.5	(0.0006167874337613482-1.5178830414797062e-18j)
71.0	(0.0006180501682614874+2.168404344971009e-18j)
71.5	(0.0006194115547702144-8.673617379884035e-19j)
72.0	(0.0006208726581360291-2.3852447794681098e-18j)
72.5	(0.0006224346274356269-4.336808689942018e-19j)
73.0	(0.0006240986982129581+6.505213034913027e-19j)
73.5	(0.0006258661949220948+2.6020852139652106e-18j)
74.0	(0.0006277385335584145-6.505213034913027e-19j)
74.5	(0.0006297172245054712-1.734723475976807e-18j)
75.0	(0.0006318038755981326+0j)
75.5	(0.0006340001954187422+1.5178830414797062e-18j)
76.0	(0.0006363079968293554+8.673617379884035e-19j)
76.5	(0.000638729200774919+0j)
77.0	(0.0006412658403497368+1.5178830414797062e-18j)
77.5	(0.0006439200651568498+6.505213034913027e-19j)
78.0	(0.0006466941459814956+1.0842021724855044e-18j)
78.5	(0.0006495904797799202+0j)
79.0	(0.000652611595031183-1.8431436932253575e-18j)
79.5	(0.0006557601574479022+2.168404344971009e-19j)
80.0	(0.0006590389761019894-1.5178830414797062e-18j)
80.5	(0.0006624510099556644-1.4094628242311558e-18j)
81.0	(0.0006659993748746075+1.0842021724855044e-19j)
81.5	(0.0006696873510823338+4.336808689942018e-19j)
82.0	(0.0006735183911979687+1.0842021724855044e-19j)
82.5	(0.0006774961287924453+1.4094628242311558e-18j)
83.0	(0.000681624387566801-1.951563910473908e-18j)
83.5	(0.0006859071911733192+7.589415207398531e-19j)
84.0	(0.0006903487737438695-3.2526065174565133e-19j)
84.5	(0.0006949535911748797+9.75781955236954e-19j)
85.0	(0.0006997263332200202+5.421010862427522e-19j)
85.5	(0.0007046719364708697-5.421010862427522e-19j)
86.0	(0.0007097955982981411-7.589415207398531e-19j)
86.5	(0.0007151027918105715-1.8431436932253575e-18j)
87.0	(0.0007205992819524223+0j)
87.5	(0.0007262911428041979+5.421010862427522e-19j)
88.0	(0.0007321847762124052+3.2526065174565133e-19j)
88.5	(0.0007382869318559503+7.589415207398531e-19j)
89.0	(0.0007446047288739636-1.0842021724855044e-19j)
89.5	(0.0007511456792185587-2.168404344971009e-19j)
90.0	(0.0007579177128406098+3.2526065174565133e-19j)
90.5	(0.000764929204937633-1.3010426069826053e-18j)
91.0	(0.000772189005429499-2.168404344971009e-19j)
91.5	(0.0007797064708584603-5.963111948670274e-19j)
92.0	(0.0007874914989723414+2.710505431213761e-19j)
92.5	(0.0007955545662689985-1.3552527156068805e-18j)
93.0	(0.0008039067687510219+1.6263032587282567e-19j)
93.5	(0.000812559866236561-1.0299920638612292e-18j)
94.0	(0.0008215263306232443+5.421010862427522e-20j)
94.5	(0.000830819398466469+1.0842021724855044e-19j)
95.0	(0.0008404531283595022+4.336808689942018e-19j)
95.5	(0.0008504424636244276-5.963111948670274e-19j)
96.0	(0.0008608033008944518-3.7947076036992655e-19j)
96.5	(0.0008715525652182908+7.589415207398531e-19j)
97.0	(0.000882708292486208+7.047314121155779e-19j)
97.5	(0.0008942897199394565+0j)
98.0	(0.0009063173857331132-8.131516293641283e-19j)
98.5	(0.0009188132386621455-1.0299920638612292e-18j)
99.0	(0.0009318007592237279+2.168404344971009e-19j)
99.5	(0.0009453050934302297-2.168404344971009e-19j)
100.0	(0.0009593532009565739-8.131516293641283e-19j)
100.5	(0.0009739740194672707+3.2526065174565133e-19j)
101.0	(0.000989198647167099+3.2526065174565133e-19j)
101.5	(0.0010050605460562886-1.0842021724855044e-19j)
102.0	(0.001021595768589572-5.421010862427522e-20j)
102.5	(0.0010388432110049219+5.421010862427522e-19j)
103.0	(0.001056844897052982-1.6263032587282567e-19j)
103.5	(0.001075646296411195-3.7947076036992655e-19j)
104.0	(0.0010952966828927655-1.951563910473908e-18j)
104.5	(0.0011158495383653895+1.6263032587282567e-19j)
105.0	(0.001137363009274406+9.75781955236954e-19j)
105.5	(0.0011599004240008199+8.131516293641283e-19j)
106.0	(0.0011835308807028942-1.0299920638612292e-18j)
106.5	(0.00120832991709992+1.2468324983583301e-18j)
107.0	(0.0012343802758209713+4.87890977618477e-19j)
107.5	(0.0012617727816478666+8.673617379884035e-19j)
108.0	(0.0012906073501911652+3.2526065174565133e-19j)
108.5	(0.0013209941515310052-1.3552527156068805e-18j)
109.0	(0.0013530549573961344+3.7947076036992655e-19j)
109.5	(0.0013869247064786962+2.710505431213761e-19j)
110.0	(0.0014227533302881316+1.3010426069826053e-18j)
110.5	(0.0014607078915635254-1.0842021724855044e-19j)
111.0	(0.0015009750994761325+2.168404344971009e-19j)
111.5	(0.0015437642814156369-1.6263032587282567e-18j)
112.0	(0.0015893109110879326+1.5178830414797062e-18j)
112.5	(0.0016378808182750115+7.047314121155779e-19j)
113.0	(0.0016897752389874645+2.1141942363467336e-18j)
113.5	(0.0017453369084402806-1.3010426069826053e-18j)
114.0	(0.0018049574568165003-5.963111948670274e-19j)
114.5	(0.0018690864446031827-1.7889335846010823e-18j)
115.0	(0.0019382424772929434-5.421010862427522e-19j)
115.5	(0.002013026978881095+0j)
116.0	(0.0020941413949888115-7.047314121155779e-19j)
116.5	(0.0021824088608807957+1.1384122811097797e-18j)
117.0	(0.0022788017391069085-1.0842021724855044e-19j)
117.5	(0.0023844769532222216-1.734723475976807e-18j)
118.0	(0.0025008217877577907+2.710505431213761e-19j)
118.5	(0.002629513895811468+7.047314121155779e-19j)
119.0	(0.0027726008130596917+1.8431436932253575e-18j)
119.5	(0.002932606561249411-1.1926223897340549e-18j)
120.0	(0.0031126763014770248+7.589415207398531e-19j)
120.5	(0.003316775027980918+7.589415207398531e-19j)
121.0	(0.003549963842335181+1.0842021724855044e-19j)
121.5	(0.003818788781567894-3.686287386450715e-18j)
122.0	(0.004131834749772964+2.2768245622195593e-18j)
122.5	(0.004500524889755013-1.1384122811097797e-18j)
123.0	(0.0049402921186332-2.656295322589486e-18j)
123.5	(0.005472334862597758-1.6263032587282567e-19j)
124.0	(0.006126350313277603-1.8973538018496328e-18j)
124.5	(0.006945095019412736+3.7947076036992655e-19j)
125.0	(0.007992968997105481-1.951563910473908e-18j)
125.5	(0.009375354246637598-2.710505431213761e-19j)
126.0	(0.01129276183746123+2.710505431213761e-18j)
126.5	(0.0142312546592084-2.6020852139652106e-18j)
127.0	(0.019833708740718155+1.5178830414797062e-18j)
127.5	(0.03711398048242316-6.505213034913027e-19j)
