wn	g_0_wn_up
-12.541826921753001	(0.010857121103711754+0.07809946997625908j)
-12.492739536540661	(0.010940831580704715+0.07839365250616782j)
-12.44365215132832	(0.011025508254916444+0.07869000857828762j)
-12.39456476611598	(0.011111165964822848+0.07898856178089678j)
-12.34547738090364	(0.011197819831719552+0.07928933603562072j)
-12.2963899956913	(0.01128548526612436+0.07959235560309479j)
-12.24730261047896	(0.011374177974350187+0.07989764508873545j)
-12.198215225266619	(0.011463913965253644+0.08020522944862207j)
-12.149127840054279	(0.011554709557164616+0.08051513399549172j)
-12.100040454841938	(0.011646581385002353+0.08082738440484986j)
-12.050953069629598	(0.011739546407583692+0.08114200672119912j)
-12.001865684417256	(0.011833621915129267+0.08145902736438894j)
-11.952778299204915	(0.011928825536973721+0.08177847313608856j)
-11.903690913992575	(0.012025175249486196+0.08210037122638623j)
-11.854603528780235	(0.012122689384207437+0.08242474922051689j)
-11.805516143567894	(0.01222138663621031+0.08275163510572146j)
-11.756428758355554	(0.012321286072690561+0.08308105727824011j)
-11.707341373143214	(0.012422407141795032+0.08341304455044243j)
-11.658253987930873	(0.012524769681694744+0.08374762615809725j)
-11.609166602718533	(0.01262839392991062+0.08408483176778508j)
-11.560079217506193	(0.012733300532899752+0.08442469148445582j)
-11.51099183229385	(0.012839510555910622+0.08476723585913491j)
-11.46190444708151	(0.012947045493115848+0.08511249589678099j)
-11.41281706186917	(0.013055927278031336+0.08546050306429785j)
-11.36372967665683	(0.013166178294231222+0.0858112892987043j)
-11.314642291444489	(0.013277821386368016+0.08616488701546468j)
-11.265554906232149	(0.013390879871508112+0.08652132911698389j)
-11.216467521019808	(0.01350537755079273+0.08688064900126968j)
-11.167380135807468	(0.01362133872143519+0.08724288057076637j)
-11.118292750595128	(0.013738788189065378+0.08760805824136303j)
-11.069205365382787	(0.013857751280432935+0.08797621695157977j)
-11.020117980170447	(0.013978253856481038+0.08834739217193635j)
-10.971030594958105	(0.014100322325802985+0.08872161991450617j)
-10.921943209745764	(0.014223983658494286+0.08909893674265994j)
-10.872855824533424	(0.014349265400413485+0.08947937978100298j)
-10.823768439321084	(0.01447619568786527+0.08986298672550976j)
-10.774681054108743	(0.014604803262719988+0.0902497958538601j)
-10.725593668896403	(0.014735117487984171+0.09063984603598084j)
-10.676506283684063	(0.014867168363837332+0.09103317674479754j)
-10.627418898471722	(0.015000986544150498+0.09142982806719983j)
-10.578331513259382	(0.01513660335350299+0.09182984071522537j)
-10.529244128047042	(0.01527405080471412+0.09223325603746611j)
-10.480156742834701	(0.015413361616907423+0.09264011603070156j)
-10.43106935762236	(0.01555456923412544+0.0930504633517634j)
-10.381981972410019	(0.015697707844513967+0.09346434132963582j)
-10.332894587197679	(0.01584281240009522+0.09388179397779593j)
-10.283807201985338	(0.015989918637150186+0.09430286600679903j)
-10.234719816772998	(0.016139063097231156+0.09472760283711266j)
-10.185632431560657	(0.016290283148826374+0.09515605061220472j)
-10.136545046348317	(0.01644361700969927+0.09558825621188928j)
-10.087457661135977	(0.016599103769926047+0.09602426726593533j)
-10.038370275923636	(0.016756783415655906+0.09646413216794243j)
-9.989282890711296	(0.016916696853619396+0.09690790008948812j)
-9.940195505498954	(0.017078885936411294+0.09735562099455114j)
-9.891108120286614	(0.017243393488575467+0.09780734565421527j)
-9.842020735074273	(0.017410263333520214+0.0982631256616578j)
-9.792933349861933	(0.017579540321293812+0.09872301344742722j)
-9.743845964649593	(0.017751270357251155+0.09918706229501421j)
-9.694758579437252	(0.017925500431643423+0.09965532635672004j)
-9.645671194224912	(0.018102278650164397+0.1001278606698267j)
-9.596583809012571	(0.018281654265487994+0.10060472117307236j)
-9.547496423800231	(0.018463677709833228+0.10108596472343638j)
-9.49840903858789	(0.01864840062859425+0.10157164911323728j)
-9.44932165337555	(0.01883587591507456+0.10206183308754732j)
-9.400234268163208	(0.01902615774636626+0.10255657636192703j)
-9.351146882950868	(0.019219301620416664+0.10305593964048289j)
-9.302059497738528	(0.0194153643943266+0.10355998463425098j)
-9.252972112526187	(0.019614404323926353+0.10406877407990947j)
-9.203884727313847	(0.019816481104677264+0.10458237175882212j)
-9.154797342101507	(0.020021655913948805+0.10510084251641502j)
-9.105709956889166	(0.020229991454723383+0.1056242522818883j)
-9.056622571676826	(0.020441552000782855+0.10615266808826418j)
-9.007535186464485	(0.02065640344343352+0.10668615809277222j)
-8.958447801252145	(0.02087461333982825+0.10722479159757248j)
-8.909360416039805	(0.021096250962947323+0.1077686390708162j)
-8.860273030827463	(0.021321387353301923+0.10831777216804392j)
-8.811185645615122	(0.02155009537242695+0.10887226375391938j)
-8.762098260402782	(0.02178244975823299+0.10943218792429775j)
-8.713010875190442	(0.022018527182289718+0.1099976200286254j)
-8.663923489978101	(0.02225840630911665+0.11056863669266784j)
-8.614836104765761	(0.0225021678575602+0.11114531584156186j)
-8.56574871955342	(0.022749894664339423+0.1117277367231864j)
-8.51666133434108	(0.023001671749846388+0.11231597993184611j)
-8.46757394912874	(0.02325758638629104+0.11291012743226037j)
-8.4184865639164	(0.023517728168284135+0.11351026258384907j)
-8.369399178704057	(0.023782189085955963+0.11411647016530548j)
-8.320311793491717	(0.02405106360071308+0.11472883639944466j)
-8.271224408279377	(0.024324448723739584+0.11534744897831516j)
-8.222137023067036	(0.02460244409735411+0.1159723970885588j)
-8.173049637854696	(0.024885152079338915+0.11660377143700251j)
-8.123962252642356	(0.02517267783036248+0.117241664276464j)
-8.074874867430015	(0.02546512940462235+0.11788616943175059j)
-8.025787482217675	(0.025762617843840815+0.11853738232582844j)
-7.976700097005334	(0.026065257274751875+0.1191954000061368j)
-7.927612711792993	(0.026373165010224093+0.11986032117101911j)
-7.878525326580653	(0.026686461654170775+0.12053224619624027j)
-7.829437941368313	(0.02700527121040533+0.12121127716155543j)
-7.780350556155972	(0.027329721195607115+0.12189751787729268j)
-7.731263170943632	(0.027659942756570636+0.12259107391090848j)
-7.682175785731291	(0.027996070791918518+0.12329205261346975j)
-7.63308840051895	(0.0283382440784674+0.12400056314601347j)
-7.58400101530661	(0.028686605402444085+0.12471671650572858j)
-7.53491363009427	(0.029041301695758647+0.12544062555190066j)
-7.485826244881929	(0.02940248417755063+0.12617240503155414j)
-7.436738859669588	(0.029770308501234417+0.12691217160472085j)
-7.387651474457248	(0.030144934907280194+0.12766004386925695j)
-7.338564089244907	(0.030526528381978217+0.128416142385124j)
-7.289476704032567	(0.030915258822445085+0.12918058969804166j)
-7.240389318820227	(0.03131130120814315+0.12995351036241165j)
-7.191301933607885	(0.0317148357791965+0.13073503096340391j)
-7.142214548395545	(0.03212604822180047+0.13152528013808645j)
-7.093127163183205	(0.032545129861035194+0.13232438859547j)
-7.044039777970864	(0.03297227786140821+0.13313248913532688j)
-6.994952392758524	(0.033407695435466664+0.13394971666563335j)
-6.945865007546184	(0.03385159206083505+0.13477620821846914j)
-6.896777622333842	(0.034304183706051546+0.13561210296419657j)
-6.847690237121502	(0.0347656930655931+0.13645754222372444j)
-6.798602851909162	(0.03523634980449799+0.1373126694786471j)
-6.749515466696821	(0.03571639081301336+0.13817763037903041j)
-6.700428081484481	(0.0362060604717156+0.13905257274859817j)
-6.65134069627214	(0.03670561092757196+0.13993764658705118j)
-6.602253311059799	(0.03721530238143395+0.14083300406922966j)
-6.553165925847459	(0.03773540338747604+0.14173879954080573j)
-6.504078540635119	(0.03826619116511658+0.1426551895101656j)
-6.454991155422778	(0.03880795192398326+0.14358233263611478j)
