tau	g_0_tau_up
3.75	(0.00180305613373497-0.03024947246930213j)
3.8125	(8.009065038451697e-05-0.029870050780819116j)
3.875	(0.001684306242258917-0.02941192533579388j)
3.9375	(2.010417689472105e-05-0.02905047400808712j)
4.0	(0.0015777837198352777-0.028613160023542267j)
4.0625	(-3.115729685608786e-05-0.028268825463200406j)
4.125	(0.0014829246907130593-0.027851277180323455j)
4.1875	(-7.404038190081592e-05-0.027523277605723644j)
4.25	(0.0013990306379792308-0.02712453287427611j)
4.3125	(-0.00010903884116626934-0.026812137175311914j)
4.375	(0.0013253092120726257-0.026431296478788106j)
4.4375	(-0.00013675082541586927-0.0261338089966783j)
4.5	(0.001260909526730857-0.025770020199078147j)
4.5625	(-0.0001578423039397532-0.02548677018023906j)
4.625	(0.0012049521584936679-0.02513921778413808j)
4.6875	(-0.00017301628307593076-0.024869552483772997j)
4.75	(0.00115655414796508-0.024537450405714666j)
4.8125	(-0.00018298737048545472-0.024280730997223082j)
4.875	(0.0011148493533389464-0.023963318041596834j)
4.9375	(-0.00018846122370187995-0.023718917634715425j)
5.0	(0.0010790045423203422-0.023415454990336343j)
5.0625	(-0.00019011840928941765-0.023182758182563625j)
5.125	(0.001048231634394219-0.02289252838581449j)
5.1875	(-0.00018860219152705784-0.022670931875176346j)
5.25	(0.001021796522609664-0.022393238786008973j)
5.3125	(-0.0001845097681198143-0.02218215266298698j)
5.375	(0.0009990249118733193-0.02191632208889943j)
5.4375	(-0.00017838647622338884-0.02171517150379588j)
5.5	(0.000979305609222732-0.021460552184396416j)
5.5625	(-0.00017072250509873616-0.021268779155453055j)
5.625	(0.0009620916911800073-0.02102474388850361j)
5.6875	(-0.0001619516724056002-0.02084180907752717j)
5.75	(0.0009468999531309676-0.020607755827993665j)
5.8125	(-0.00015245185165731917-0.020433140164757918j)
5.875	(0.0009333090133450553-0.02020849305119845j)
5.9375	(-0.00014254668108784271-0.020041699134067233j)
6.0	(0.000920956398836869-0.01982590922940098j)
