tau	g_0_tau_up
0.5	(-0.38404731920776836-9.780613818843875e-13j)
1.0	(-0.3584041389062921-9.688118363104792e-13j)
1.5	(-0.3280775630963251-9.515842974705535e-13j)
2.0	(-0.3003783270269818-9.275150092413753e-13j)
2.5	(-0.27562268275242346-8.982762450537862e-13j)
3.0	(-0.25345123087365784-8.653910921196939e-13j)
3.5	(-0.23350388668874789-8.30003600571505e-13j)
4.0	(-0.21549042217724323-7.931702170060895e-13j)
4.5	(-0.19917913771916357-7.556386072415933e-13j)
5.0	(-0.18438010496976237-7.179656175138049e-13j)
5.5	(-0.1709331632735053-6.805528363074131e-13j)
6.0	(-0.1587002348323983-6.438131278097003e-13j)
6.5	(-0.14756043450739126-6.07935576879548e-13j)
7.0	(-0.13740684730604497-5.731613100801169e-13j)
7.5	(-0.12814428768923347-5.395935434582277e-13j)
8.0	(-0.11968764747092295-5.073276868050591e-13j)
8.5	(-0.11196061054741685-4.764400679535541e-13j)
9.0	(-0.10489460877362868-4.4693589107414056e-13j)
9.5	(-0.09842794630090115-4.1888888191454754e-13j)
10.0	(-0.09250504887668407-3.922331209826879e-13j)
10.5	(-0.08707581081058341-3.6697381244898963e-13j)
11.0	(-0.08209502146575146-3.4311442576040463e-13j)
11.5	(-0.0775218584525723-3.2056302057270614e-13j)
12.0	(-0.07331943791609404-2.9931265799199025e-13j)
12.5	(-0.06945441435407666-2.7931996993135755e-13j)
13.0	(-0.06589662378380903-2.6053291468652873e-13j)
13.5	(-0.06261876506744629-2.428890422123686e-13j)
14.0	(-0.059596114958269206-2.2633284135764598e-13j)
14.5	(-0.056806273028066644-2.108417607171731e-13j)
15.0	(-0.05422893312695436-1.963307988406271e-13j)
15.5	(-0.051845678440020866-1.8275311819415663e-13j)
16.0	(-0.04963979755812417-1.7008269792562203e-13j)
16.5	(-0.047596119284795485-1.5823974075512837e-13j)
17.0	(-0.04570086416591482-1.4717740914882427e-13j)
