tau	g_0_tau_up
0.0	(0.0006107794140842175-0.8513462941953849j)
0.0625	(-0.2733076169352556-0.591275083951476j)
0.125	(-0.18458143805863825-0.4720761425704448j)
0.1875	(-0.2076547810351589-0.4229770569245732j)
0.25	(-0.16345749470340126-0.3878631718645046j)
0.3125	(-0.1740854629618227-0.3698171059029016j)
0.375	(-0.14732504068995234-0.3573731474800089j)
0.4375	(-0.15850747346927474-0.352209873896857j)
0.5	(-0.14453687798091527-0.34909432470598833j)
0.5625	(-0.15987841246353096-0.3487654804691927j)
0.625	(-0.15619985919039833-0.34806707655130564j)
0.6875	(-0.1759669030862665-0.3473668458918008j)
0.75	(-0.17979352568151416-0.34461360692487875j)
0.8125	(-0.20236452396403404-0.34015282608229624j)
0.875	(-0.21037523820390064-0.33272792137905405j)
0.9375	(-0.23314465959039252-0.3228452939555553j)
1.0	(-0.24187762514037786-0.3098806995704132j)
1.0625	(-0.2620686458514221-0.2945503755343044j)
1.125	(-0.2684856773899522-0.27670700278562066j)
1.1875	(-0.2838276943701517-0.2572240809402815j)
1.25	(-0.2857823908362477-0.23625789612084824j)
1.3125	(-0.29493393018286806-0.21473410424349007j)
1.375	(-0.29139123478539886-0.19294741195034798j)
1.4375	(-0.29406322060612716-0.17177122527313982j)
1.5	(-0.2850681519953163-0.151511028502031j)
1.5625	(-0.2819277660599168-0.13291155357862394j)
1.625	(-0.2684294646997174-0.11620193577630293j)
1.6875	(-0.26090526119492535-0.10194732926523659j)
1.75	(-0.24453016300697658-0.0902408735908346j)
1.8125	(-0.23458315449543868-0.08143269754188821j)
1.875	(-0.21738591575285926-0.07543711273741605j)
1.9375	(-0.2072509394919339-0.07236464067773021j)
2.0	(-0.1914260741433837-0.07192421999284856j)
2.0625	(-0.18329585544537363-0.07398169521951892j)
2.125	(-0.17082201959105114-0.07804630314779105j)
2.1875	(-0.16646522852716594-0.08377610889915374j)
2.25	(-0.1587108317808669-0.09053955461006655j)
2.3125	(-0.15910286418324815-0.0978785027784146j)
2.375	(-0.1565167122846089-0.10512948411452269j)
2.4375	(-0.16163083114303078-0.11184407965056392j)
2.5	(-0.1636569267723139-0.11745095972678457j)
2.5625	(-0.1725169694839645-0.1216296143509199j)
2.625	(-0.17777852159686475-0.12399694792244978j)
2.6875	(-0.18875829831741714-0.12443216301584303j)
2.75	(-0.1954408913850485-0.12277776453131407j)
2.8125	(-0.2066940450526863-0.11911913076858535j)
2.875	(-0.2129773718337517-0.11349906495072962j)
2.9375	(-0.22283087786790906-0.10616329147145151j)
3.0	(-0.2272111690021737-0.0972948731980454j)
3.0625	(-0.2344019005019614-0.08723856154116211j)
3.125	(-0.23584378282629848-0.07625944814845821j)
3.1875	(-0.23960305396384596-0.06475229540592194j)
3.25	(-0.23757980748796803-0.05302171060014872j)
3.3125	(-0.23765278463527784-0.04147594504906773j)
3.375	(-0.2321603751374864-0.030422684935112333j)
3.4375	(-0.22882230352085664-0.020245395575789644j)
3.5	(-0.22039545082407874-0.011209810206072951j)
3.5625	(-0.21445803298735128-0.0036227960228712858j)
3.625	(-0.20414969881404554+0.002351156079417948j)
3.6875	(-0.19689319983022552+0.006543040489979498j)
3.75	(-0.18613935296816242+0.008946914997435464j)
3.8125	(-0.1790988548426759+0.009574708435493899j)
3.875	(-0.16942876376981797+0.008600419420119038j)
3.9375	(-0.16404834682021258+0.0062098472089639305j)
4.0	(-0.15671612856219103+0.0027211499949238854j)
4.0625	(-0.15399873922005647-0.0015680396943548898j)
4.125	(-0.14969042644871516-0.00627585672136876j)
4.1875	(-0.14999262592112964-0.01108353449087299j)
4.25	(-0.14872618185027242-0.01563603731214161j)
4.3125	(-0.15176777223899723-0.019675266535728125j)
4.375	(-0.15300305272365008-0.022937519494435364j)
4.4375	(-0.15805589220180236-0.0252680366997479j)
4.5	(-0.16093054289446157-0.026513472445346502j)
4.5625	(-0.16706518039466078-0.026621514371394858j)
4.625	(-0.17061831760030732-0.02553451400107152j)
4.6875	(-0.17688189939455734-0.023282858575064094j)
4.75	(-0.18017879452228264-0.019886517634307724j)
4.8125	(-0.18567477780839248-0.015446979398971572j)
4.875	(-0.187860405421229-0.010057053160279356j)
4.9375	(-0.191798270811108-0.003889461960372941j)
5.0	(-0.19216196081331052+0.00288968386864992j)
5.0625	(-0.1939481581078466+0.010040243137601084j)
5.125	(-0.19204301768890725+0.01733618011998496j)
5.1875	(-0.1914218670315908+0.024496667796190065j)
5.25	(-0.1872108749624621+0.031278341453187884j)
5.3125	(-0.18439171646121444+0.03741686044583177j)
5.375	(-0.17832756766122332+0.042718691033305674j)
5.4375	(-0.1739915966923113+0.04700464535073664j)
5.5	(-0.16693497906183713+0.050191682299959864j)
5.5625	(-0.16206528894590633+0.052229280411595774j)
5.625	(-0.15504374382066327+0.05316558170565114j)
5.6875	(-0.15064299232902328+0.053074542920768145j)
5.75	(-0.1445630641043748+0.05210870590242848j)
5.8125	(-0.14139422236134735+0.05042190489009825j)
5.875	(-0.13683794824764745+0.048215620447520334j)
5.9375	(-0.1352941147571926+0.04566474252180581j)
6.0	(-0.13246883974958823+0.042965486589190756j)
6.0625	(-0.13259805411837208+0.040270788406103125j)
6.125	(-0.13141940485967563+0.03774410608193356j)
6.1875	(-0.1330396012068606+0.03550463868667385j)
6.25	(-0.1332485921014795+0.03368356468221009j)
6.3125	(-0.13604134296203535+0.03237262923306009j)
6.375	(-0.13726041419085433+0.03167605913277511j)
6.4375	(-0.14078929453217082+0.03165703517559888j)
6.5	(-0.14251563047996946+0.03238293223701581j)
6.5625	(-0.14621445264051158+0.03387014656461841j)
6.625	(-0.1478240112773655+0.03612576897319438j)
6.6875	(-0.1510335527364094+0.03909513900376093j)
6.75	(-0.15186069048268072+0.04270535980638235j)
6.8125	(-0.15395350553758533+0.046821047717758614j)
6.875	(-0.15345420616515215+0.05129475572879019j)
6.9375	(-0.15401962918630574+0.055933783392565065j)
7.0	(-0.1519527271394219+0.06055714222013795j)
