tau	g_0_tau_up
0.5	(-0.3839993814258029-3.796529063349041e-14j)
1.0	(-0.35831124392384034-3.761747857655706e-14j)
1.5	(-0.3279448979303813-3.6974763528707655e-14j)
2.0	(-0.30021224781598554-3.603888021341817e-14j)
2.5	(-0.27542986275459375-3.487574812277572e-14j)
3.0	(-0.25323809691645727-3.3612002070526614e-14j)
3.5	(-0.23327629658121635-3.2237233715814995e-14j)
4.0	(-0.2152535126188726-3.078353544294643e-14j)
4.5	(-0.19893728259638638-2.9341112872671715e-14j)
5.0	(-0.18413693974026046-2.7896955578921023e-14j)
5.5	(-0.17069164509627122-2.6413767006960853e-14j)
6.0	(-0.1584627187831164-2.497568124537608e-14j)
6.5	(-0.1473287538323579-2.3587902464594634e-14j)
7.0	(-0.1371823908252851-2.2239154962022667e-14j)
7.5	(-0.12792807079838148-2.093290818461213e-14j)
8.0	(-0.11948037525514763-1.9690846175812737e-14j)
8.5	(-0.11176273272940912-1.848261127479489e-14j)
9.0	(-0.1047063668761487-1.7333356971960256e-14j)
9.5	(-0.09824941372283026-1.6243083267308833e-14j)
10.0	(-0.09233616469907752-1.5204851266936714e-14j)
10.5	(-0.08691640815456314-1.4224732503009818e-14j)
11.0	(-0.08194485117173642-1.3289716549458319e-14j)
11.5	(-0.07738060877254824-1.2413681194090032e-14j)
12.0	(-0.07318675082559103-1.1596626436904955e-14j)
12.5	(-0.06932989900788183-1.0824674490095276e-14j)
13.0	(-0.06577986756378706-1.0103029524088925e-14j)
13.5	(-0.06250934260390202-9.405670686746248e-15j)
14.0	(-0.059493595448253875-8.758618830206899e-15j)
14.5	(-0.05671022612433438-8.161873954470877e-15j)
15.0	(-0.05413893362903044-7.601558271730369e-15j)
15.5	(-0.051761309983066925-7.065528717653535e-15j)
16.0	(-0.04956065546505284-6.5867450382839365e-15j)
16.5	(-0.04752181272154035-6.125308593674106e-15j)
17.0	(-0.0456310177181764-5.710709682915649e-15j)
17.5	(-0.043875765731406266-5.289171878253285e-15j)
18.0	(-0.0422446907852803-4.937023012629993e-15j)
18.5	(-0.040727457117809104-4.591813040910608e-15j)
19.0	(-0.039314661419387595-4.257011410047085e-15j)
19.5	(-0.03799774472497204-3.967312589558958e-15j)
20.0	(-0.036768912964343495-3.7001651742585295e-15j)
20.5	(-0.03562106528308693-3.406996906818449e-15j)
21.0	(-0.03454772934263984-3.1866870253693946e-15j)
21.5	(-0.03354300289248122-2.959438250016433e-15j)
22.0	(-0.032601500982632335-2.7547408798511697e-15j)
22.5	(-0.03171830825126229-2.5604518505417673e-15j)
23.0	(-0.03088893578137487-2.3852447794681098e-15j)
23.5	(-0.030109282073216084-2.213507155346406e-15j)
24.0	(-0.029375597725869493-2.0643209364124004e-15j)
24.5	(-0.028684453463312626-1.941155569618047e-15j)
25.0	(-0.028032711177447045-1.7763568394002505e-15j)
25.5	(-0.027417497693893733-1.654926196081874e-15j)
26.0	(-0.026836180996068083-1.5543122344752192e-15j)
26.5	(-0.026286348669664984-1.4432899320127035e-15j)
27.0	(-0.02576578835347644-1.3461454173580023e-15j)
27.5	(-0.025272470003784284-1.2455314557513475e-15j)
28.0	(-0.024804529798718042-1.1674688993323912e-15j)
28.5	(-0.024360255526084076-1.0859368959614812e-15j)
29.0	(-0.02393807331358406-1.0217521273503394e-15j)
29.5	(-0.02353653557416658-9.419548474554063e-16j)
30.0	(-0.023154310051689195-8.708311849403572e-16j)
30.5	(-0.022790169863201204-8.36136715420821e-16j)
31.0	(-0.022442984444263188-7.806255641895632e-16j)
31.5	(-0.02211171131272678-7.355227538141662e-16j)
32.0	(-0.021795388574550933-6.782768791069316e-16j)
32.5	(-0.02149312810257861-6.123573870198129e-16j)
33.0	(-0.02120410932579754-5.793976409762536e-16j)
33.5	(-0.02092757357257843-5.516420653606247e-16j)
34.0	(-0.020662818916766114-5.152128723651117e-16j)
