tau	g_0_tau_up
0.5	(0.03711398046735312+6.071532165918825e-18j)
1.0	(0.019833708729448393-1.8431436932253575e-18j)
1.5	(0.014231254651742376+3.577867169202165e-18j)
2.0	(0.011292761832831857+1.0299920638612292e-18j)
2.5	(0.009375354243873875-8.131516293641283e-19j)
3.0	(0.007992968995491425-4.662069341687669e-18j)
3.5	(0.006945095018478698-6.559423143537302e-18j)
4.0	(0.006126350312738385+2.927345865710862e-18j)
4.5	(0.00547233486228348-1.6805133673525319e-18j)
5.0	(0.004940292118445599+2.3852447794681098e-18j)
5.5	(0.004500524889637555+3.686287386450715e-18j)
6.0	(0.004131834749696833-1.1384122811097797e-18j)
6.5	(0.003818788781514213-1.0299920638612292e-18j)
7.0	(0.0035499638422947966-8.131516293641283e-19j)
7.5	(0.0033167750279492073+1.8973538018496328e-18j)
8.0	(0.0031126763014500108+1.951563910473908e-18j)
8.5	(0.0029326065612260734+1.5178830414797062e-18j)
9.0	(0.0027726008130378637+1.3552527156068805e-18j)
9.5	(0.0026295138957927533-2.439454888092385e-18j)
10.0	(0.002500821787740114+1.0299920638612292e-18j)
10.5	(0.0023844769532037776-2.168404344971009e-18j)
11.0	(0.002278801739090521+5.421010862427522e-19j)
11.5	(0.0021824088608676006-5.421010862427522e-20j)
12.0	(0.002094141394973867-2.710505431213761e-19j)
12.5	(0.0020130269788626136-6.505213034913027e-19j)
13.0	(0.001938242477277865+1.463672932855431e-18j)
13.5	(0.001869086444589429+3.7947076036992655e-19j)
14.0	(0.0018049574568009806+0j)
14.5	(0.0017453369084274874+9.215718466126788e-19j)
15.0	(0.0016897752389750695-1.734723475976807e-18j)
15.5	(0.00163788081826121-1.3552527156068805e-18j)
16.0	(0.0015893109110764734-3.7947076036992655e-19j)
16.5	(0.0015437642814045242+7.589415207398531e-19j)
17.0	(0.001500975099465751+5.421010862427522e-20j)
17.5	(0.001460707891554257+1.1384122811097797e-18j)
18.0	(0.0014227533302778065-5.963111948670274e-19j)
18.5	(0.001386924706468051-1.0299920638612292e-18j)
19.0	(0.0013530549573869352+1.6263032587282567e-19j)
19.5	(0.001320994151521867-2.168404344971009e-18j)
20.0	(0.0012906073501807898+2.710505431213761e-19j)
20.5	(0.001261772781639134+1.1384122811097797e-18j)
21.0	(0.0012343802758110092-1.0842021724855044e-19j)
21.5	(0.001208329917091036+2.710505431213761e-19j)
22.0	(0.0011835308806953412-1.6805133673525319e-18j)
22.5	(0.0011599004239921233-9.75781955236954e-19j)
23.0	(0.0011373630092669828-5.421010862427522e-20j)
23.5	(0.001115849538358621+4.87890977618477e-19j)
24.0	(0.0010952966828844187-4.87890977618477e-19j)
