tau	g_0_tau_up
0.5	(-0.3468430289940951+2.710505431213761e-19j)
1.0	(-0.13540444413322786-8.673617379884035e-19j)
1.5	(-0.04837071725376475-1.2468324983583301e-18j)
2.0	(-0.013926984384980712+5.908901840045999e-18j)
2.5	(-0.0007659137062565853-5.366800753803247e-18j)
3.0	(0.00393275988393053-2.168404344971009e-19j)
3.5	(0.0053357771558716705-2.0599841277224584e-18j)
4.0	(0.0055029217112354326-3.577867169202165e-18j)
4.5	(0.005243606472652106-1.6263032587282567e-19j)
5.0	(0.004867894373912666-1.8431436932253575e-18j)
5.5	(0.004488588291874583-2.3310346708438345e-18j)
6.0	(0.004142031697474453+5.421010862427522e-20j)
6.5	(0.003835996494054159+7.589415207398531e-19j)
7.0	(0.003568383885147876+2.0599841277224584e-18j)
7.5	(0.00333432551332903+2.6020852139652106e-18j)
8.0	(0.003128731181017217+1.3010426069826053e-18j)
8.5	(0.002947089040101154+2.8731357570865868e-18j)
9.0	(0.00278562392615812-1.2468324983583301e-18j)
9.5	(0.0026412414084062323-1.951563910473908e-18j)
10.0	(0.0025114171169294736-2.2768245622195593e-18j)
10.5	(0.002394086675899382-3.7947076036992655e-19j)
11.0	(0.00228755222488321-9.75781955236954e-19j)
11.5	(0.0021904075115537023-3.7947076036992655e-19j)
12.0	(0.0021014791922377976+1.7889335846010823e-18j)
12.5	(0.0020197811279290693+1.7889335846010823e-18j)
13.0	(0.001944478753415249-5.963111948670274e-19j)
13.5	(0.0018748611590679444-9.215718466126788e-19j)
14.0	(0.0018103190666944812+2.1141942363467336e-18j)
14.5	(0.0017503273245985127-9.215718466126788e-19j)
15.0	(0.001694430888243308-1.1926223897340549e-18j)
15.5	(0.0016422335084899037+5.421010862427522e-19j)
16.0	(0.0015933885389876172-6.505213034913027e-19j)
16.5	(0.001547591414787889+1.6263032587282567e-19j)
17.0	(0.0015045734587109177-1.3552527156068805e-18j)
17.5	(0.0014640967500992588+9.215718466126788e-19j)
18.0	(0.0014259498493960684-1.4094628242311558e-18j)
18.5	(0.001389944216586825-5.421010862427522e-20j)
19.0	(0.0013559111956265445-1.6263032587282567e-19j)
19.5	(0.0013236994631941814-9.215718466126788e-19j)
20.0	(0.0012931728604646318+2.168404344971009e-19j)
20.5	(0.001264208542457173+1.734723475976807e-18j)
