tau	g_0_tau_up
0.5	(-0.38333663429614295-5.577135975265435e-16j)
1.0	(-0.3570288599225864-5.056718932472393e-16j)
1.5	(-0.3261176243839103-4.935288289154016e-16j)
2.0	(-0.29793119278882807-4.935288289154016e-16j)
2.5	(-0.2727900550055128-4.709774237277031e-16j)
3.0	(-0.2503303750970984-4.614364446098307e-16j)
3.5	(-0.23018278557489147-4.206704429243757e-16j)
4.0	(-0.2120456074660888-4.128641872824801e-16j)
4.5	(-0.19567522584649444-3.972516759986888e-16j)
5.0	(-0.1808703261907278-3.8077180297690916e-16j)
5.5	(-0.16746040550440677-3.5995512126518747e-16j)
6.0	(-0.15529829867326095-3.2526065174565133e-16j)
6.5	(-0.14425531871795913-3.3219954564955856e-16j)
7.0	(-0.13421796543992226-2.92300905702092e-16j)
7.5	(-0.1250855679774359-2.740863092043355e-16j)
8.0	(-0.11676849884674687-2.688821387764051e-16j)
8.5	(-0.10918675505563501-2.463307335887066e-16j)
9.0	(-0.1022687895454078-2.2898349882893854e-16j)
9.5	(-0.0959505241802728-2.1684043449710089e-16j)
10.0	(-0.09017450182686385-2.0122792321330962e-16j)
10.5	(-0.0848891497518689-1.7867651802561113e-16j)
11.0	(-0.08004813499981854-1.726049858596923e-16j)
11.5	(-0.07560979746534321-1.5872719805187785e-16j)
12.0	(-0.07153664956755987-1.4224732503009818e-16j)
12.5	(-0.06779493357916594-1.3530843112619095e-16j)
13.0	(-0.06435422919395697-1.231653667943533e-16j)
13.5	(-0.06118710507021814-1.1449174941446927e-16j)
14.0	(-0.058268808995403765-1.1622647289044608e-16j)
14.5	(-0.05557699205530176-1.1102230246251565e-16j)
15.0	(-0.053091462803966816-1.0061396160665481e-16j)
15.5	(-0.05079396794797125-8.847089727481716e-17j)
16.0	(-0.04866799649943705-9.540979117872439e-17j)
16.5	(-0.04669860473076576-8.153200337090993e-17j)
17.0	(-0.044872259590458846-8.326672684688674e-17j)
17.5	(-0.043176698522104456-8.500145032286355e-17j)
18.0	(-0.04160080387408585-4.85722573273506e-17j)
18.5	(-0.040134490301282855-5.377642775528102e-17j)
19.0	(-0.03876860374648766-5.898059818321144e-17j)
19.5	(-0.037494830752280335-3.469446951953614e-17j)
20.0	(-0.03630561699686416-4.163336342344337e-17j)
20.5	(-0.03519409407263283-3.122502256758253e-17j)
21.0	(-0.03415401363633194-4.85722573273506e-17j)
21.5	(-0.03317968815656472-3.2959746043559335e-17j)
22.0	(-0.03226593756982621-2.2551405187698492e-17j)
22.5	(-0.03140804123165171-2.0816681711721685e-17j)
23.0	(-0.030601694616116025-5.204170427930421e-18j)
23.5	(-0.029842970275941717-1.734723475976807e-17j)
24.0	(-0.02912828262771657-1.734723475976807e-17j)
24.5	(-0.02845435617313917-1.214306433183765e-17j)
25.0	(-0.027818196808379755-1.5612511283791264e-17j)
25.5	(-0.027217065910270254-2.42861286636753e-17j)
26.0	(-0.02664845692060762-3.469446951953614e-18j)
26.5	(-0.02611007417889617-2.0816681711721685e-17j)
27.0	(-0.025599813779705417-1.3877787807814457e-17j)
27.5	(-0.02511574625388968-1.5612511283791264e-17j)
28.0	(-0.024656100893545-1.734723475976807e-17j)
