wn	g_0_wn_up
-12.541826921753001	(-0.010857120136879892+0.0780994702524032j)
-12.492739536540661	(-0.010940830606795095+0.078393652785549j)
-12.44365215132832	(-0.011025507273851543+0.0786900088609565j)
-12.39456476611598	(-0.011111164976524006+0.07898856206690501j)
-12.34547738090364	(-0.01119781883610695+0.07928933632502082j)
-12.2963899956913	(-0.011285484263117002+0.07959235589594028j)
-12.24730261047896	(-0.011374176963865883+0.07989764538508085j)
-12.198215225266619	(-0.011463912947208986+0.08020522974852284j)
-12.149127840054279	(-0.011554708531474974+0.08051513429900442j)
-12.100040454841938	(-0.011646580351581828+0.08082738471203203j)
-12.050953069629598	(-0.011739545366345127+0.08114200703210943j)
-12.001865684417256	(-0.0118336208659842+0.08145902767908711j)
-11.952778299204915	(-0.011928824479832387+0.08177847345463544j)
-11.903690913992575	(-0.012025174184257482+0.08210037154884378j)
-11.854603528780235	(-0.012122688310798884+0.0824247495469483j)
-11.805516143567894	(-0.012221385554528081+0.08275163543619105j)
-11.756428758355554	(-0.012321284982639416+0.08308105761281342j)
-11.707341373143214	(-0.01242240604327831+0.08341304488918627j)
-11.658253987930873	(-0.012524768574614346+0.08374762650107968j)
-11.609166602718533	(-0.012628392814166972+0.08408483211507549j)
-11.560079217506193	(-0.012733299408391794+0.0844246918361249j)
-11.51099183229385	(-0.012839509422535783+0.08476723621525474j)
-11.46190444708151	(-0.012947044350770015+0.08511249625742501j)
-11.41281706186917	(-0.01305592612660884+0.08546050342954097j)
-11.36372967665683	(-0.013166177133624796+0.08581128966862282j)
-11.314642291444489	(-0.013277820216468799+0.08616488739013649j)
-11.265554906232149	(-0.013390878692205583+0.08652132949648833j)
-11.216467521019808	(-0.013505376361974724+0.08688064938568772j)
-11.167380135807468	(-0.013621337522987841+0.08724288096018057j)
-11.118292750595128	(-0.0137387869808731+0.08760805863585755j)
-11.069205365382787	(-0.013857750062378403+0.08797621735124055j)
-11.020117980170447	(-0.013978252628445155+0.088347392576851j)
-10.971030594958105	(-0.014100321087664845+0.08872162032476408j)
-10.921943209745764	(-0.014223982410131149+0.08909893715835235j)
-10.872855824533424	(-0.014349264141700763+0.089479380202223j)
-10.823768439321084	(-0.014476194418676477+0.0898629871523524j)
-10.774681054108743	(-0.014604801982926699+0.09024979628642231j)
-10.725593668896403	(-0.014735116197456037+0.09063984647436167j)
-10.676506283684063	(-0.014867167062441988+0.09103317718909802j)
-10.627418898471722	(-0.015000985231753574+0.09142982851752321j)
-10.578331513259382	(-0.015136602029968051+0.09182984117167702j)
-10.529244128047042	(-0.015274049469902656+0.09223325650015365j)
-10.480156742834701	(-0.015413360270678784+0.09264011649973493j)
-10.43106935762236	(-0.015554567876336824+0.0930504638272549j)
-10.381981972410019	(-0.01569770647502037+0.09346434181170017j)
-10.332894587197679	(-0.01584281101874941+0.0938817944665504j)
-10.283807201985338	(-0.01598991724380265+0.09430286650236337j)
-10.234719816772998	(-0.01613906169173008+0.09472760333960936j)
-10.185632431560657	(-0.016290281731017577+0.09515605112175889j)
-10.136545046348317	(-0.016443615579426182+0.09558825672862885j)
-10.087457661135977	(-0.01659910232702966+0.09602426778999107j)
-10.038370275923636	(-0.016756781959974733+0.09646413269944809j)
-9.989282890711296	(-0.016916695384989442+0.09690790062858048j)
-9.940195505498954	(-0.017078884454665988+0.09735562154137006j)
-9.891108120286614	(-0.01724339199354561+0.09780734620890379j)
-9.842020735074273	(-0.017410261825033965+0.0982631262243623j)
-9.792933349861933	(-0.017579538799176626+0.09872301401829743j)
-9.743845964649593	(-0.017751268821325723+0.09918706287420335j)
-9.694758579437252	(-0.017925498881729632+0.09965532694438492j)
-9.645671194224912	(-0.018102277086079286+0.10012786126612776j)
-9.596583809012571	(-0.01828165268704569+0.10060472177817387j)
-9.547496423800231	(-0.01846367611684491+0.10108596533750651j)
-9.49840903858789	(-0.01864839902086807+0.1015716497364482j)
-9.44932165337555	(-0.01883587429241563+0.10206183372007531j)
-9.400234268163208	(-0.01902615610857656+0.10255657700395267j)
-9.351146882950868	(-0.01921929996729498+0.10305594029219105j)
-9.302059497738528	(-0.019415362725668506+0.10355998529583109j)
-9.252972112526187	(-0.01961440263952413+0.10406877475155557j)
-9.203884727313847	(-0.01981647940431983+0.104582372440733j)
-9.154797342101507	(-0.020021654197421676+0.10510084320879441j)
-9.105709956889166	(-0.020229989721808603+0.10562425298494497j)
-9.056622571676826	(-0.020441550251258937+0.10615266880221211j)
-9.007535186464485	(-0.020656401677075366+0.10668615881783074j)
-8.958447801252145	(-0.02087461155640713+0.10722479233396648j)
-8.909360416039805	(-0.021096249162230747+0.10776863981877619j)
-8.860273030827463	(-0.021321385535053628+0.10831777292780635j)
-8.811185645615122	(-0.021550093536406814+0.10887226452572665j)
-8.762098260402782	(-0.021782447904196974+0.10943218870839858j)
-8.713010875190442	(-0.02201852530998977+0.10999762082527482j)
-8.663923489978101	(-0.02225840441830067+0.11056863750212757j)
-8.614836104765761	(-0.022502165947971966+0.11114531666410042j)
-8.56574871955342	(-0.022749892735718473+0.11172773755907926j)
-8.51666133434108	(-0.023001669801928037+0.11231598078137611j)
-8.46757394912874	(-0.023257584418806224+0.1129101282957177j)
-8.4184865639164	(-0.02351772618095937+0.11351026346153167j)
-8.369399178704057	(-0.023782187078513293+0.11411647105751922j)
-8.320311793491717	(-0.024051061572869986+0.11472883730650363j)
-8.271224408279377	(-0.02432444667520889+0.11534744990054185j)
-8.222137023067036	(-0.024602442027843938+0.11597239802628445j)
-8.173049637854696	(-0.024885149988552614+0.11660377239056735j)
-8.123962252642356	(-0.025172675717998517+0.11724166524621753j)
-8.074874867430015	(-0.025465127270374293+0.11788617041805197j)
-8.025787482217675	(-0.025762615687397197+0.11853738332904662j)
-7.976700097005334	(-0.026065255095796148+0.119195401026651j)
-7.927612711792993	(-0.026373162808434557+0.11986032220921904j)
-7.878525326580653	(-0.026686459429220516+0.1205322472525266j)
-7.829437941368313	(-0.02700526896196212+0.12121127823634009j)
