wn	g_0_wn_up
-12.541826921753001	(-8.70233680753657e-19+0.07960564444147898j)
-12.492739536540661	(-7.349533320007714e-19+0.07991506178226909j)
-12.44365215132832	(-5.868182606861863e-19+0.08022708737582177j)
-12.39456476611598	(-6.35089742493137e-19+0.08054183492845249j)
-12.34547738090364	(-4.352493476709455e-19+0.08085937719312164j)
-12.2963899956913	(-6.034790403768201e-19+0.08117975272841052j)
-12.24730261047896	(-3.371699684306503e-19+0.08150297691056095j)
-12.198215225266619	(-5.316599681077273e-19+0.08182905201751879j)
-12.149127840054279	(-6.629818394238915e-19+0.08215797485090393j)
-12.100040454841938	(-7.5761994874288675e-19+0.08248974184145745j)
-12.050953069629598	(-1.1099768604107122e-18+0.08282435208918217j)
-12.001865684417256	(4.642439638425515e-19+0.08316180890409662j)
-11.952778299204915	(8.470818519243014e-19+0.08350212035988469j)
-11.903690913992575	(5.543470470173311e-19+0.08384529925791531j)
-11.854603528780235	(7.078707848774874e-19+0.08419136277960011j)
-11.805516143567894	(1.9253196794868413e-19+0.08454033200577123j)
-11.756428758355554	(2.1489067766859574e-19+0.08489223140896211j)
-11.707341373143214	(-3.664141368603802e-21+0.08524708837551828j)
-11.658253987930873	(1.8434539007867583e-19+0.08560493278377763j)
-11.609166602718533	(-2.0931662342345663e-19+0.0859657966465857j)
-11.560079217506193	(-7.634929926317037e-19+0.08632971381669248j)
-11.51099183229385	(1.383341767715923e-18+0.08669671974891954j)
-11.46190444708151	(8.457213798866806e-19+0.0870668513112603j)
-11.41281706186917	(8.785637072445194e-19+0.08744014663693897j)
-11.36372967665683	(9.94413728618932e-19+0.08781664501009498j)
-11.314642291444489	(6.413248251675773e-19+0.08819638677871658j)
-11.265554906232149	(2.3196445703883313e-19+0.08857941328946708j)
-11.216467521019808	(-1.8982202241196134e-19+0.08896576684000451j)
-11.167380135807468	(-7.854505197413115e-20+0.08935549064523766j)
-11.118292750595128	(6.983676673591693e-19+0.08974862881467296j)
-11.069205365382787	(-2.9113767979816795e-19+0.09014522633859323j)
-11.020117980170447	(1.080320205866543e-19+0.09054532908128475j)
-10.971030594958105	(9.340646024413507e-19+0.09094898377991026j)
-10.921943209745764	(7.561999745197478e-19+0.09135623804792799j)
-10.872855824533424	(7.708439066054038e-19+0.09176714038219662j)
-10.823768439321084	(1.3505076929321654e-18+0.09218174017309429j)
-10.774681054108743	(5.419548890504252e-19+0.09260008771712824j)
-10.725593668896403	(-7.00036216936836e-21+0.09302223423162839j)
-10.676506283684063	(1.3122090985333505e-19+0.09344823187120878j)
-10.627418898471722	(-6.278252421142174e-19+0.0938781337457535j)
-10.578331513259382	(-2.2005143037922297e-21+0.09431199393973937j)
-10.529244128047042	(2.9026640704183516e-19+0.0947498675327524j)
-10.480156742834701	(2.245262619199127e-19+0.09519181062109033j)
-10.43106935762236	(5.387825949883918e-19+0.09563788034037038j)
-10.381981972410019	(1.0451104788525213e-18+0.09608813488908427j)
-10.332894587197679	(8.461454164070726e-19+0.09654263355305961j)
-10.283807201985338	(3.328759355123926e-19+0.09700143673080037j)
-10.234719816772998	(2.5506306425832235e-19+0.09746460595969124j)
-10.185632431560657	(7.593815487897978e-19+0.09793220394305877j)
-10.136545046348317	(-2.5010909300792245e-19+0.0984042945780906j)
-10.087457661135977	(-9.196861019764547e-19+0.09888094298461911j)
-10.038370275923636	(9.145922345925467e-20+0.09936221553478192j)
-9.989282890711296	(1.9768099997486252e-19+0.09984817988357511j)
-9.940195505498954	(1.1513490479112353e-18+0.10033890500031929j)
-9.891108120286614	(4.948871245589168e-19+0.10083446120106115j)
-9.842020735074273	(6.386988940173651e-19+0.10133492018193692j)
-9.792933349861933	(6.457684077716761e-19+0.10184035505352525j)
-9.743845964649593	(6.163796486959905e-19+0.10235084037622104j)
-9.694758579437252	(1.4534609175532092e-18+0.10286645219666217j)
-9.645671194224912	(1.1292382097256673e-18+0.10338726808524461j)
-9.596583809012571	(-2.265008731240609e-19+0.10391336717476238j)
-9.547496423800231	(-4.840867796113981e-19+0.10444483020021125j)
-9.49840903858789	(-4.952828582504603e-20+0.10498173953979678j)
-9.44932165337555	(2.4004167433147634e-19+0.10552417925718938j)
-9.400234268163208	(1.9726758284532376e-18+0.10607223514507104j)
-9.351146882950868	(1.3734408329234605e-18+0.10662599477002005j)
-9.302059497738528	(2.94157440282706e-19+0.1071855475187826j)
-9.252972112526187	(3.384981313731614e-19+0.10775098464598198j)
-9.203884727313847	(6.226588360055199e-19+0.1083223993233179j)
-9.154797342101507	(-6.401766252099369e-20+0.10889988669031185j)
-9.105709956889166	(1.0583991847154633e-18+0.10948354390665514j)
-9.056622571676826	(-1.24117386003955e-18+0.11007347020622053j)
-9.007535186464485	(-4.918610327653139e-19+0.11066976695279933j)
-8.958447801252145	(9.772149875572914e-19+0.11127253769762967j)
-8.909360416039805	(1.7233094791655514e-19+0.11188188823878373j)
-8.860273030827463	(1.1897446422196184e-18+0.11249792668248518j)
-8.811185645615122	(1.192472970155336e-18+0.1131207635064307j)
-8.762098260402782	(2.4834814165984725e-19+0.11375051162519333j)
-8.713010875190442	(-3.6005927276269136e-19+0.11438728645778762j)
-8.663923489978101	(6.373870141030368e-19+0.11503120599748194j)
-8.614836104765761	(8.119952306233295e-19+0.11568239088394495j)
-8.56574871955342	(1.786596928925899e-18+0.11634096447781887j)
-8.51666133434108	(1.5100473954346558e-18+0.11700705293781535j)
-8.46757394912874	(-1.33346396434342e-20+0.1176807853004346j)
-8.4184865639164	(4.631330263875763e-19+0.11836229356241236j)
-8.369399178704057	(1.2284770325143321e-18+0.11905171276600504j)
-8.320311793491717	(7.355073211894219e-19+0.1197491810872273j)
-8.271224408279377	(3.4167678218566085e-18+0.12045483992716292j)
-8.222137023067036	(1.8051252508403897e-18+0.12116883400647378j)
-8.173049637854696	(-1.0717168460340343e-18+0.12189131146323946j)
-8.123962252642356	(7.227255138244102e-19+0.12262242395426462j)
-8.074874867430015	(6.831226601299309e-19+0.12336232675999899j)
-8.025787482217675	(1.2956710400325197e-18+0.12411117889322074j)
-7.976700097005334	(1.3403369131878537e-18+0.12486914321164208j)
-7.927612711792993	(1.0887965909203113e-18+0.12563638653460296j)
-7.878525326580653	(1.573699897184299e-18+0.12641307976402727j)
-7.829437941368313	(1.4329706716996347e-18+0.12719939800982386j)
-7.780350556155972	(9.337657853656364e-19+0.12799552071992457j)
-7.731263170943632	(-1.9923056723087697e-19+0.12880163181515997j)
-7.682175785731291	(5.564084764665221e-19+0.1296179198291842j)
-7.63308840051895	(4.525764373706515e-19+0.13044457805367043j)
-7.58400101530661	(-1.776621630341035e-19+0.1312818046890104j)
-7.53491363009427	(5.724706148850748e-19+0.13212980300076183j)
-7.485826244881929	(1.330980493838922e-18+0.13298878148210183j)
-7.436738859669588	(4.583346429244932e-19+0.13385895402255635j)
-7.387651474457248	(9.333496573620338e-19+0.13474054008328987j)
-7.338564089244907	(1.2696312422835028e-18+0.13563376487925502j)
-7.289476704032567	(5.683873500887024e-19+0.1365388595685168j)
-7.240389318820227	(7.211151319617555e-19+0.13745606144908268j)
-7.191301933607885	(2.2940811618770184e-18+0.13838561416358827j)
-7.142214548395545	(7.001228258348375e-20+0.13932776791220566j)
-7.093127163183205	(1.1834310480212355e-18+0.1402827796741627j)
-7.044039777970864	(2.7986863247458347e-18+0.14125091343828086j)
-6.994952392758524	(1.4029913192204201e-18+0.14223244044296374j)
-6.945865007546184	(1.5707790785465535e-18+0.14322763942608946j)
-6.896777622333842	(-6.316962879674271e-19+0.14423679688528754j)
-6.847690237121502	(5.123573044657418e-19+0.14526020734910605j)
-6.798602851909162	(7.986823987173334e-19+0.1462981736596042j)
-6.749515466696821	(-5.482876562875917e-19+0.14735100726693506j)
-6.700428081484481	(7.832503368968698e-19+0.14841902853651548j)
-6.65134069627214	(2.4687921464382924e-18+0.14950256706941475j)
-6.602253311059799	(7.290555063947209e-19+0.1506019620366297j)
-6.553165925847459	(1.4737307607726569e-18+0.15171756252795257j)
-6.504078540635119	(1.4943028385659573e-18+0.15284972791617996j)
-6.454991155422778	(1.6013614164328013e-18+0.15399882823745448j)
-6.405903770210437	(1.708488303220277e-18+0.15516524458857886j)
-6.356816384998097	(1.9982968225416632e-18+0.15634936954219136j)
-6.307728999785756	(1.7439814386998234e-18+0.15755160758074577j)
-6.258641614573416	(1.941360752006379e-18+0.1587723755502967j)
-6.209554229361076	(1.6438611794972133e-18+0.16001210313515132j)
-6.160466844148735	(1.625513002136352e-18+0.16127123335451551j)
-6.111379458936394	(1.6852063793429532e-18+0.1625502230823314j)
-6.062292073724054	(-2.462655230418095e-19+0.16384954359157886j)
-6.013204688511713	(2.7772196903066647e-18+0.1651696811243948j)
-5.964117303299373	(2.3912851981308278e-18+0.16651113748944837j)
-5.915029918087033	(4.683482751858624e-18+0.16787443068810506j)
-5.8659425328746915	(2.5474051978476234e-18+0.16926009557100996j)
-5.816855147662351	(3.6792094500329254e-20+0.17066868452682835j)
-5.767767762450011	(3.0800518553040484e-18+0.17210076820499565j)
-5.71868037723767	(1.897230862546483e-18+0.17355693627445173j)
-5.66959299202533	(2.1529518304593585e-18+0.17503779822046747j)
-5.620505606812989	(1.9934486271245392e-18+0.17654398418181305j)
-5.5714182216006485	(1.5370251802616994e-18+0.17807614583067205j)
-5.522330836388308	(1.6881007170686413e-18+0.17963495729786927j)
-5.473243451175968	(4.901075084929482e-18+0.18122111614615977j)
-5.424156065963627	(2.1721755696507233e-18+0.18283534439451737j)
-5.375068680751287	(-3.225311652179618e-18+0.1844783895965705j)
