tau	g_0_tau_up
13.125	(-0.44543678549128801203-6.85119475952647829e-16j)
13.25	(-0.44513339630583681483-6.940595513688923462e-16j)
13.375	(-0.4448309927092225502-6.9005961032905132387e-16j)
13.5	(-0.4445295725107191176-6.8904233699428871e-16j)
13.625	(-0.44422913353240650602-6.946013745224492806e-16j)
13.75	(-0.44392967360903912155-6.904630627097403878e-16j)
13.875	(-0.44363119058791894433-6.865477720250655921e-16j)
14.0	(-0.4433336823287700179-6.7969242998047111996e-16j)
14.125	(-0.44303714670361826755-6.8639995154087991586e-16j)
14.25	(-0.4427415815966721513-6.7826442507562897553e-16j)
14.375	(-0.44244698490420830694-6.764490349463159972e-16j)
14.5	(-0.44215335453445753222-6.8706427683443350345e-16j)
14.625	(-0.44186068840749492814-6.7827945991044273936e-16j)
14.75	(-0.441568984455132596-6.791395556939304771e-16j)
14.875	(-0.44127824062081394407-6.896024640004402178e-16j)
15.0	(-0.44098845485950982637-6.8326725312501908945e-16j)
15.125	(-0.44069962513761934408-6.754619768649687203e-16j)
15.25	(-0.4404117494328698701-6.742410185761710489e-16j)
15.375	(-0.44012482573422062604-6.815355472039168758e-16j)
15.5	(-0.43983885204176859096-6.6954340032047830094e-16j)
15.625	(-0.43955382636665435436-6.6135461665866874647e-16j)
15.75	(-0.4392697467309729653-6.686740136443503676e-16j)
15.875	(-0.43898661116768333823-6.672284328058526964e-16j)
16.0	(-0.43870441772052126694-6.7471580701288668596e-16j)
16.125	(-0.438423164443913993-6.5995869312670385866e-16j)
16.25	(-0.43814284940289499604-6.64691820591732283e-16j)
16.375	(-0.43786347067302228142-6.625112666179240953e-16j)
16.5	(-0.43758502634029655676-6.599281337661536996e-16j)
16.625	(-0.43730751450108218403-6.5625242105665386244e-16j)
16.75	(-0.43703093326202757662-6.5995279036585268026e-16j)
16.875	(-0.4367552807399900927-6.542269138168626142e-16j)
17.0	(-0.43648055506195848618-6.54699280268744696e-16j)
17.125	(-0.43620675436497896582-6.6156026037639432957e-16j)
17.25	(-0.43593387679608330831-6.5706169486330634217e-16j)
17.375	(-0.4356619205122148064-6.4947155173696876447e-16j)
17.5	(-0.43539088368015865793-6.491497453914611346e-16j)
17.625	(-0.43512076447647307642-6.511115928113103018e-16j)
17.75	(-0.43485156108741818137-6.468342484812434961e-16j)
17.875	(-0.43458327170889099467-6.5745001976495303633e-16j)
18.0	(-0.43431589454635710634-6.4053118515314862863e-16j)
18.125	(-0.43404942781478661473-6.4201969997416025214e-16j)
18.25	(-0.4337838697385881792-6.3322392456141438554e-16j)
18.375	(-0.43351921855154640362-6.3307672611704934916e-16j)
18.5	(-0.43325547249675921968-6.4563785414791619944e-16j)
18.625	(-0.43299262982657477083-6.368896846337839847e-16j)
18.75	(-0.43273068880253245938-6.419604076678524511e-16j)
18.875	(-0.43246964769530216177-6.3346327754346272963e-16j)
19.0	(-0.43220950478462305533-6.2722892976321386726e-16j)
19.125	(-0.43195025835925004998-6.2993484268766673393e-16j)
19.25	(-0.43169190671688972838-6.318077251782745979e-16j)
19.375	(-0.43143444816414983078-6.2398430388430726557e-16j)
19.5	(-0.4311778810164784148-6.2123430554192777273e-16j)
19.625	(-0.43092220359811095332-6.230521573607437089e-16j)
19.75	(-0.43066741424201571142-6.2798533018511195746e-16j)
19.875	(-0.43041351128983867946-6.2140796053100470515e-16j)
20.0	(-0.4301604930918508929-6.143750327350624486e-16j)
20.125	(-0.4299083580068968069-6.1872808063479010736e-16j)
20.25	(-0.42965710440233995104-6.1424844101411733323e-16j)
20.375	(-0.4294067306540151896-6.1266904220484328346e-16j)
20.5	(-0.42915723514617482026-6.139616541870227483e-16j)
20.625	(-0.42890861627144083457-6.1350988122367078673e-16j)
20.75	(-0.42866087243075340352-6.1101521037532926205e-16j)
20.875	(-0.42841400203332485885-6.1297662104381500127e-16j)
21.0	(-0.42816800349658801217-6.0938673659467366625e-16j)
21.125	(-0.42792287524615241212-6.004596710751033831e-16j)
21.25	(-0.42767861571575316315-6.062060219986153617e-16j)
21.375	(-0.4274352233472071827-5.9587891689635212687e-16j)
21.5	(-0.42719269659036662734-5.9235500837286802133e-16j)
21.625	(-0.42695103390307231894-6.0200411654041339213e-16j)
21.75	(-0.4267102337511101129-5.870283755096103494e-16j)
21.875	(-0.42647029460816504587-5.8818342404719979556e-16j)
22.0	(-0.42623121495577798168-5.82056067116100992e-16j)
22.125	(-0.4259929932833032007-5.924749694140229116e-16j)
22.25	(-0.42575562808786215907-5.937691166434192749e-16j)
22.375	(-0.42551911787430507506-5.8151540863284653226e-16j)
22.5	(-0.4252834611551653543-5.9485300117854955897e-16j)
22.625	(-0.4250486564506192888-5.839381875597898482e-16j)
22.75	(-0.42481470228844481207-5.8894121413252697485e-16j)
22.875	(-0.42458159720398114256-5.8700082046904498295e-16j)
23.0	(-0.4243493397400871503-5.8119976974598609775e-16j)
23.125	(-0.42411792844710183292-5.8001318246600122976e-16j)
23.25	(-0.42388736188280617956-5.8629301856249560823e-16j)
23.375	(-0.42365763861238109333-5.839258394076056566e-16j)
23.5	(-0.42342875720837214182-5.819520805869357258e-16j)
23.625	(-0.42320071625064786813-5.7541162304048303977e-16j)
23.75	(-0.4229735143263640973-5.735346509689267136e-16j)
23.875	(-0.4227471500299260776-5.6745853953113679522e-16j)
24.0	(-0.4225216219629495118-5.735304158041904421e-16j)
24.125	(-0.42229692873422586263-5.681514389517704146e-16j)
24.25	(-0.42207306895968421667-5.6884482806332666537e-16j)
24.375	(-0.42185004126235703392-5.706516022793792914e-16j)
24.5	(-0.42162784427234178963-5.65157865697496107e-16j)
24.625	(-0.42140647662676800067-5.6094344003354253483e-16j)
24.75	(-0.42118593696975947793-5.5326606574852756504e-16j)
24.875	(-0.4209662239524032401-5.6291099169089586773e-16j)
25.0	(-0.42074733623271126648-5.626779914559519309e-16j)
25.125	(-0.420529272475588356-5.4829165300753987273e-16j)
25.25	(-0.4203120313527985985-5.506371798827156363e-16j)
25.375	(-0.42009561154293045826-5.437273233270314694e-16j)
25.5	(-0.4198800117313643554-5.4445704221109104915e-16j)
25.625	(-0.4196652306102411356-5.5099444249799973917e-16j)
25.75	(-0.41945126687842693158-5.537995773912895666e-16j)
25.875	(-0.4192381192414827984-5.519133541317624474e-16j)
26.0	(-0.41902578641163157336-5.51559109071352938e-16j)
26.125	(-0.41881426710772717836-5.4531905705359990993e-16j)
26.25	(-0.41860356005522314504-5.3983028355539204373e-16j)
26.375	(-0.41839366398614075138-5.391365768064805726e-16j)
26.5	(-0.41818457763903782443-5.491741819292400486e-16j)
26.625	(-0.4179762997589806517-5.264140625293821764e-16j)
26.75	(-0.41776882909751084094-5.3810608181680691115e-16j)
26.875	(-0.4175621644126162324-5.2704064191722374425e-16j)
27.0	(-0.41735630446870225496-5.308820819168098056e-16j)
27.125	(-0.41715124803656122854-5.2632205357548667805e-16j)
27.25	(-0.4169469938933427211-5.226216975011776611e-16j)
27.375	(-0.4167435408225261262-5.2699872702122445723e-16j)
27.5	(-0.41654088761389029827-5.2071427194818958265e-16j)
27.625	(-0.41633903306348762907-5.2018099853344399635e-16j)
27.75	(-0.41613797597361157354-5.184788328863772764e-16j)
27.875	(-0.41593771515277289108-5.25307241930227022e-16j)
28.0	(-0.41573824941566905888-5.081574717262876098e-16j)
28.125	(-0.41553957758315923643-5.1238638959457311105e-16j)
28.25	(-0.41534169848223378985-5.0816447298299225865e-16j)
28.375	(-0.41514461094599064417-5.10705280657179541e-16j)
28.5	(-0.4149483138136051963-5.094677655212410082e-16j)
28.625	(-0.41475280593030700027-5.1076182010640876555e-16j)
28.75	(-0.41455808614735001338-5.007102124702399919e-16j)
28.875	(-0.41436415332199050265-5.036130340851498817e-16j)
29.0	(-0.41417100631745612516-5.0616924717106535165e-16j)
29.125	(-0.41397864400292516684-5.028753477974301912e-16j)
29.25	(-0.41378706525349667755-5.0469915531665650917e-16j)
29.375	(-0.41359626895016887715-4.9387024936759410564e-16j)
29.5	(-0.4134062539798118996-4.927391030409849918e-16j)
29.625	(-0.4132170192351430349-4.9013505906332925557e-16j)
29.75	(-0.41302856361470297042-4.86598405340966933e-16j)
29.875	(-0.41284088602283031122-4.930205429726000339e-16j)
30.0	(-0.41265398536963815435-4.8751633759288437843e-16j)
30.125	(-0.4124678605709894974-4.8503491486923350304e-16j)
30.25	(-0.41228251054847336876-4.848328975113133524e-16j)
30.375	(-0.41209793422938184593-4.849072114175451164e-16j)
30.5	(-0.4119141305466853531-4.7922012633056133716e-16j)
30.625	(-0.4117310984390100126-4.7831648775962880803e-16j)
30.75	(-0.41154883685061482979-4.6591548866046242306e-16j)
30.875	(-0.4113673447313683229-4.800918555821840207e-16j)
31.0	(-0.41118662103672609653-4.8085335143665543754e-16j)
31.125	(-0.41100666472770691628-4.716357933208463319e-16j)
31.25	(-0.41082747477087311339-4.793038502434415044e-16j)
31.375	(-0.41064905013830566016-4.754908123173680638e-16j)
31.5	(-0.41047138980758346438-4.7272759232007752336e-16j)
31.625	(-0.41029449276176088723-4.62082055769205875e-16j)
31.75	(-0.41011835798934781483-4.692223317563228133e-16j)
31.875	(-0.40994298448428451165-4.6823107821490866746e-16j)
32.0	(-0.40976837124592413453-4.59805376790774125e-16j)
32.125	(-0.40959451727900925144-4.642212639472762122e-16j)
32.25	(-0.40942142159365174647-4.5861589106992287123e-16j)
32.375	(-0.40924908320531211414-4.4736156282310199535e-16j)
32.5	(-0.40907750113477736598-4.5037723834334371983e-16j)
32.625	(-0.40890667440814221223-4.472727037729790989e-16j)
32.75	(-0.4087366020567882452-4.4476279956647679767e-16j)
32.875	(-0.40856728311736267845-4.447823739684922525e-16j)
33.0	(-0.4083987166317603057-4.5318386877918104315e-16j)
33.125	(-0.40823090164710124084-4.4244955258752530344e-16j)
33.25	(-0.40806383721571370948-4.3846873596344650712e-16j)
33.375	(-0.40789752239511201104-4.4151593699119385259e-16j)
33.5	(-0.40773195624797842207-4.4107049030516669655e-16j)
33.625	(-0.40756713784214460006-4.2627870100770564633e-16j)
33.75	(-0.40740306625057054468-4.2899150930974475505e-16j)
33.875	(-0.4072397405513270563-4.361277354205826337e-16j)
34.0	(-0.40707715982757686213-4.3145576638132393e-16j)
34.125	(-0.40691532316755552046-4.243862970546415309e-16j)
34.25	(-0.40675422966455221374-4.2838962622627157041e-16j)
