n_up	n_dn	g_diff_up	g_diff_dn
0.5	0.5	2.615617014844565e-13	2.615617014844565e-13
0.5000000000000041	0.5000000000000041	2.0920377236175736e-13	2.0920377236175736e-13
0.5000000000000073	0.5000000000000073	1.4997872712709793e-13	1.4997872712709793e-13
0.500000000000005	0.500000000000005	4.999086043895631e-12	4.999086043895631e-12
0.49999999999992695	0.49999999999992695	6.428975095193715e-10	6.428975095193715e-10
0.5000000000099674	0.5000000000099674	6.706669112383873e-10	6.706669112383873e-10
0.49999999999949324	0.49999999999949324	2.764230644074607e-11	2.764230644074607e-11
0.49999999999992495	0.49999999999992495	4.1592909307591055e-12	4.1592909307591055e-12
0.4999999999999899	0.4999999999999899	4.38747715643448e-13	4.38747715643448e-13
0.4999999999999967	0.4999999999999967	4.340803456509196e-14	4.340803456509196e-14
