wn	g_wn_up	g_wn_dn
-100.33461537402401	(2.814043367728992e-18+0.009965002288787658j)	(2.814043367728992e-18+0.009965002288787658j)
-99.94191629232529	(2.1667321550623672e-19+0.010004149972809642j)	(2.1667321550623672e-19+0.010004149972809642j)
-99.54921721062657	(5.0396701505276236e-20+0.010043606393452817j)	(5.0396701505276236e-20+0.010043606393452817j)
-99.15651812892784	(1.862541809998055e-19+0.010083375217425182j)	(1.862541809998055e-19+0.010083375217425182j)
-98.76381904722912	(2.8445147850458064e-21+0.010123460169717529j)	(2.8445147850458064e-21+0.010123460169717529j)
-98.3711199655304	(3.44071945710131e-20+0.010163865034158306j)	(3.44071945710131e-20+0.010163865034158306j)
-97.97842088383167	(-5.780583327353275e-20+0.010204593655614576j)	(-5.780583327353275e-20+0.010204593655614576j)
-97.58572180213295	(4.079033772077447e-20+0.010245649941305309j)	(4.079033772077447e-20+0.010245649941305309j)
-97.19302272043423	(-4.2589144579666973e-20+0.010287037860813098j)	(-4.2589144579666973e-20+0.010287037860813098j)
-96.8003236387355	(3.849373791706846e-20+0.010328761449002698j)	(3.849373791706846e-20+0.010328761449002698j)
-96.40762455703678	(-7.761580783039194e-20+0.010370824805459906j)	(-7.761580783039194e-20+0.010370824805459906j)
-96.01492547533805	(-1.1587295024274835e-19+0.010413232097129502j)	(-1.1587295024274835e-19+0.010413232097129502j)
-95.62222639363932	(-1.2137810295433617e-20+0.01045598755963382j)	(-1.2137810295433617e-20+0.01045598755963382j)
-95.2295273119406	(6.883931316761111e-20+0.010499095497635879j)	(6.883931316761111e-20+0.010499095497635879j)
-94.83682823024188	(2.5758994147036013e-19+0.010542560288160082j)	(2.5758994147036013e-19+0.010542560288160082j)
-94.44412914854315	(-3.421672230200571e-20+0.010586386380086202j)	(-3.421672230200571e-20+0.010586386380086202j)
-94.05143006684443	(-3.9678435979380934e-19+0.010630578297311141j)	(-3.9678435979380934e-19+0.010630578297311141j)
-93.65873098514571	(4.7444809604078145e-21+0.010675140638663655j)	(4.7444809604078145e-21+0.010675140638663655j)
-93.26603190344699	(-7.017280172449815e-20+0.010720078081431947j)	(-7.017280172449815e-20+0.010720078081431947j)
-92.87333282174826	(-8.845917850806756e-20+0.010765395380876577j)	(-8.845917850806756e-20+0.010765395380876577j)
-92.48063374004954	(-2.0275417876471167e-20+0.010811097373688227j)	(-2.0275417876471167e-20+0.010811097373688227j)
-92.0879346583508	(1.4150479111953718e-19+0.010857188978701167j)	(1.4150479111953718e-19+0.010857188978701167j)
-91.69523557665208	(2.0459157247882983e-19+0.010903675199164622j)	(2.0459157247882983e-19+0.010903675199164622j)
-91.30253649495336	(9.48566637667364e-20+0.010950561124368074j)	(9.48566637667364e-20+0.010950561124368074j)
-90.90983741325464	(-1.0071339353688392e-19+0.010997851930917278j)	(-1.0071339353688392e-19+0.010997851930917278j)
-90.51713833155591	(4.063557442269541e-20+0.01104555288575564j)	(4.063557442269541e-20+0.01104555288575564j)
-90.12443924985719	(1.8274876689622867e-19+0.011093669347345259j)	(1.8274876689622867e-19+0.011093669347345259j)
-89.73174016815847	(3.5319661350855546e-20+0.011142206768283059j)	(3.5319661350855546e-20+0.011142206768283059j)
-89.33904108645974	(3.345815714445605e-19+0.011191170695982562j)	(3.345815714445605e-19+0.011191170695982562j)
-88.94634200476102	(-2.761704584605813e-19+0.011240566776937898j)	(-2.761704584605813e-19+0.011240566776937898j)
-88.5536429230623	(-2.6093418418893663e-19+0.011290400756996562j)	(-2.6093418418893663e-19+0.011290400756996562j)
-88.16094384136358	(-5.176024423354454e-20+0.011340678484666501j)	(-5.176024423354454e-20+0.011340678484666501j)
-87.76824475966484	(8.013733739669561e-20+0.011391405912394388j)	(8.013733739669561e-20+0.011391405912394388j)
-87.37554567796612	(-6.723115504445588e-20+0.011442589100438329j)	(-6.723115504445588e-20+0.011442589100438329j)
-86.9828465962674	(-7.792364477187374e-20+0.011494234217950969j)	(-7.792364477187374e-20+0.011494234217950969j)
-86.59014751456867	(-3.654067739463366e-19+0.011546347545838304j)	(-3.654067739463366e-19+0.011546347545838304j)
-86.19744843286995	(2.268468672170714e-19+0.011598935479288756j)	(2.268468672170714e-19+0.011598935479288756j)
-85.80474935117122	(8.620106488040506e-20+0.011652004531024836j)	(8.620106488040506e-20+0.011652004531024836j)
-85.4120502694725	(4.2784577791395814e-20+0.011705561332738947j)	(4.2784577791395814e-20+0.011705561332738947j)
-85.01935118777378	(5.373587275296883e-20+0.011759612639555748j)	(5.373587275296883e-20+0.011759612639555748j)
-84.62665210607506	(-8.61958471221876e-20+0.011814165330858186j)	(-8.61958471221876e-20+0.011814165330858186j)
-84.23395302437633	(-1.5933921762724937e-19+0.01186922641465208j)	(-1.5933921762724937e-19+0.01186922641465208j)
-83.84125394267761	(5.130929167434577e-19+0.011924803029890204j)	(5.130929167434577e-19+0.011924803029890204j)
-83.44855486097887	(4.183296062402156e-20+0.011980902450408655j)	(4.183296062402156e-20+0.011980902450408655j)
-83.05585577928015	(7.440410250369068e-20+0.012037532086306j)	(7.440410250369068e-20+0.012037532086306j)
-82.66315669758143	(8.729288815927562e-20+0.012094699489983521j)	(8.729288815927562e-20+0.012094699489983521j)
-82.2704576158827	(-2.4081476139315305e-20+0.012152412356543655j)	(-2.4081476139315305e-20+0.012152412356543655j)
-81.87775853418398	(-4.7591311632010056e-20+0.01221067852922169j)	(-4.7591311632010056e-20+0.01221067852922169j)
-81.48505945248526	(2.1518481562034877e-19+0.01226950600246952j)	(2.1518481562034877e-19+0.01226950600246952j)
-81.09236037078654	(1.1391026672125468e-19+0.012328902925084331j)	(1.1391026672125468e-19+0.012328902925084331j)
-80.69966128908781	(6.150439636150069e-19+0.012388877604392475j)	(6.150439636150069e-19+0.012388877604392475j)
-80.30696220738909	(1.3066704027281047e-19+0.012449438509900036j)	(1.3066704027281047e-19+0.012449438509900036j)
-79.91426312569037	(-6.624848669759539e-20+0.012510594277772315j)	(-6.624848669759539e-20+0.012510594277772315j)
-79.52156404399163	(1.6287329521219757e-19+0.01257235371464695j)	(1.6287329521219757e-19+0.01257235371464695j)
-79.12886496229291	(2.0935517181652818e-19+0.012634725801928j)	(2.0935517181652818e-19+0.012634725801928j)
-78.73616588059419	(-2.1592306078573987e-19+0.0126977196996238j)	(-2.1592306078573987e-19+0.0126977196996238j)
-78.34346679889546	(7.062576212210848e-20+0.012761344751226382j)	(7.062576212210848e-20+0.012761344751226382j)
-77.95076771719674	(2.0888027449043757e-19+0.012825610488037263j)	(2.0888027449043757e-19+0.012825610488037263j)
-77.55806863549802	(-2.824864706735108e-19+0.012890526635431398j)	(-2.824864706735108e-19+0.012890526635431398j)
-77.1653695537993	(1.3511296609790621e-18+0.012956103115402892j)	(1.3511296609790621e-18+0.012956103115402892j)
-76.77267047210057	(5.883543684053173e-20+0.013022350053502918j)	(5.883543684053173e-20+0.013022350053502918j)
-76.37997139040185	(-4.6364568588978984e-20+0.0130892777829174j)	(-4.6364568588978984e-20+0.0130892777829174j)
-75.98727230870313	(-1.6215522804317168e-19+0.01315689684986406j)	(-1.6215522804317168e-19+0.01315689684986406j)
-75.5945732270044	(-1.6505733772057894e-19+0.013225218020248201j)	(-1.6505733772057894e-19+0.013225218020248201j)
-75.20187414530567	(2.256502932984803e-19+0.013294252284123648j)	(2.256502932984803e-19+0.013294252284123648j)
-74.80917506360694	(1.4747243408308773e-19+0.013364010862581526j)	(1.4747243408308773e-19+0.013364010862581526j)
-74.41647598190822	(-1.2148015399321455e-19+0.013434505212753673j)	(-1.2148015399321455e-19+0.013434505212753673j)
-74.0237769002095	(2.854131741157069e-19+0.01350574703442668j)	(2.854131741157069e-19+0.01350574703442668j)
-73.63107781851078	(1.2536370783958512e-19+0.013577748277893554j)	(1.2536370783958512e-19+0.013577748277893554j)
-73.23837873681205	(-3.6849667327839696e-20+0.013650521148697197j)	(-3.6849667327839696e-20+0.013650521148697197j)
-72.84567965511333	(4.613508394270064e-19+0.013724078114518996j)	(4.613508394270064e-19+0.013724078114518996j)
-72.4529805734146	(3.038628123962236e-20+0.01379843191433443j)	(3.038628123962236e-20+0.01379843191433443j)
-72.06028149171588	(4.060148243720988e-19+0.013873595563815616j)	(4.060148243720988e-19+0.013873595563815616j)
-71.66758241001716	(-1.4582648698339945e-19+0.013949582364003923j)	(-1.4582648698339945e-19+0.013949582364003923j)
-71.27488332831844	(-2.047737632943566e-19+0.01402640590937132j)	(-2.047737632943566e-19+0.01402640590937132j)
-70.8821842466197	(1.0973543936288553e-19+0.014104080092296824j)	(1.0973543936288553e-19+0.014104080092296824j)
-70.48948516492098	(2.453005153062217e-19+0.014182619118317032j)	(2.453005153062217e-19+0.014182619118317032j)
-70.09678608322226	(2.0712451556158034e-19+0.01426203750882337j)	(2.0712451556158034e-19+0.01426203750882337j)
-69.70408700152353	(5.745089141607296e-20+0.014342350112399871j)	(5.745089141607296e-20+0.014342350112399871j)
-69.31138791982481	(7.542619549023576e-20+0.01442357211356625j)	(7.542619549023576e-20+0.01442357211356625j)
-68.91868883812609	(-5.409498223091226e-19+0.014505719043563346j)	(-5.409498223091226e-19+0.014505719043563346j)
-68.52598975642736	(7.384137866726783e-20+0.014588806787680613j)	(7.384137866726783e-20+0.014588806787680613j)
-68.13329067472864	(4.037244019891029e-19+0.014672851597419516j)	(4.037244019891029e-19+0.014672851597419516j)
-67.74059159302992	(9.105308505595157e-20+0.014757870101093617j)	(9.105308505595157e-20+0.014757870101093617j)
