wn	g_0_wn_up
-50.240938764830517016	(2.7486560324201852602e-20+0.019904527566306708108j)
-50.19185137961817844	(4.991787612432944424e-19+0.019925678998336405351j)
-50.142763994405839867	(1.8556805915942028656e-18+0.01995480055360444177j)
-50.093676609193501292	(-5.6158081327555695495e-18+0.019950416461082320224j)
-50.044589223981155612	(2.594773438644730408e-18+0.019976441096954889592j)
-49.995501838768817038	(4.7469980136745562227e-19+0.019997498856789728411j)
-49.946414453556478463	(8.373010608678772425e-20+0.020017787126006322124j)
-49.897327068344132783	(7.9350659206095892123e-19+0.020037835729255378675j)
-49.84823968313179421	(3.2887402622458404409e-19+0.020057794537575213828j)
-49.799152297919455634	(9.687689576505272054e-20+0.020077722328755567144j)
-49.75006491270711706	(-2.7996446551334095786e-21+0.020097646905534703038j)
-49.70097752749477138	(2.5686380615142765585e-19+0.020117583155527214017j)
-49.651890142282432805	(2.4436257601241766153e-19+0.02013753979541446984j)
-49.60280275707009423	(2.93236101886348195e-20+0.020157522288872270488j)
-49.553715371857755656	(3.836113940728776539e-20+0.020177534252001846915j)
-49.504627986645409976	(1.7145822989110569389e-19+0.020197578188174452468j)
-49.4555406014330714	(1.06488706986879682444e-19+0.020217655898074241017j)
-49.406453216220732827	(1.43589992473791959e-20+0.020237768720934277283j)
-49.357365831008387147	(1.8204674095635950506e-19+0.020257917682835822892j)
-49.308278445796048572	(1.0353558295435733546e-20+0.020278103591321785387j)
-49.259191060583709998	(5.651968906618652951e-20+0.020298327097708332434j)
-49.210103675371371423	(-3.9797573116807391013e-20+0.020318588739268270138j)
-49.161016290159025743	(7.0861478660020335053e-20+0.020338888968484732794j)
-49.11192890494668717	(2.223799937691263906e-19+0.020359228173774349124j)
-49.062841519734348594	(2.1434878976256053995e-20+0.020379606694447941623j)
-49.01375413452201002	(-1.8683405235025835181e-20+0.020400024831695621336j)
-48.96466674930966434	(7.59781573781119907e-20+0.020420482856776916991j)
-48.915579364097325765	(4.0142368760443064234e-20+0.020440981017212020432j)
-48.86649197888498719	(-1.2825702895617221947e-20+0.020461519541521384219j)
-48.81740459367264151	(1.1797554151777379384e-19+0.020482098642895952417j)
-48.768317208460302936	(6.252746094219466647e-20+0.020502718522069553891j)
-48.71922982324796436	(1.15057679732339944344e-20+0.02052337936958887471j)
-48.670142438035625787	(-2.1116415724794639251e-20+0.020544081367623558826j)
-48.621055052823280107	(9.350661561560212338e-20+0.020564824691421772912j)
-48.571967667610941533	(5.8324114330778762216e-20+0.02058560951048972118j)
-48.522880282398602958	(2.0748242558654319556e-20+0.020606435989554531402j)
-48.473792897186264383	(-1.3954063714635666772e-19+0.020627304289355576777j)
-48.424705511973918703	(7.629946856401423296e-20+0.020648214567298990574j)
-48.37561812676158013	(5.4561582481683151625e-20+0.020669166978002303375j)
-48.326530741549241554	(-1.3313294673967981008e-19+0.020690161673750154941j)
-48.277443356336895874	(8.248612629681024599e-20+0.0207111988048777583j)
-48.2283559711245573	(3.3388221926784079387e-20+0.020732278520095067526j)
-48.179268585912218725	(2.5597894624828994966e-20+0.020753400966762300395j)
-48.13018120069988015	(-1.0202879580346841753e-20+0.020774566291125055872j)
-48.08109381548753447	(4.988835143564986463e-20+0.020795774638515920202j)
