tau	g_0_tau_up
0.01171875	(-0.49809444018733761705-1.0478529070289756169e-13j)
0.03515625	(-0.49433007899576592026-1.0472652054317022127e-13j)
0.05859375	(-0.49063342569053441933-1.0478342552922808028e-13j)
0.08203125	(-0.48699975077412299695-1.0470406943628889293e-13j)
0.10546875	(-0.48342844526393813354-1.04722654107042375344e-13j)
0.12890625	(-0.4799170568534366632-1.04693067133562510007e-13j)
0.15234375	(-0.47646431229617847158-1.0471219464327749499e-13j)
0.17578125	(-0.47306826257160033977-1.0469066858078685039e-13j)
0.19921875	(-0.4697275377939921226-1.0464846631505663088e-13j)
0.22265625	(-0.46644043369741544636-1.0460502797537174445e-13j)
0.24609375	(-0.46320560122231768663-1.04545469806451135665e-13j)
0.26953125	(-0.46002150112919942826-1.04571369255821219965e-13j)
0.29296875	(-0.45688684032545873182-1.04565338946076184774e-13j)
0.31640625	(-0.45380020888481109598-1.04480930057054128216e-13j)
0.33984375	(-0.45076038097476622823-1.04410122679402299175e-13j)
0.36328125	(-0.44776605565738852865-1.0438556361866980167e-13j)
0.38671875	(-0.44481607692627106454-1.0439058374886468523e-13j)
0.41015625	(-0.4419092392293605398-1.0431277303233088853e-13j)
0.43359375	(-0.4390444553221639068-1.0422498615269381783e-13j)
0.45703125	(-0.43622060489441671916-1.04229442099492210875e-13j)
0.48046875	(-0.43343666680239734124-1.0410779280542871731e-13j)
0.50390625	(-0.43069159785829447262-1.04105576318013937456e-13j)
0.52734375	(-0.42798443966973470642-1.04078431002546640205e-13j)
0.55078125	(-0.42531421936826452335-1.03928997042898548864e-13j)
0.57421875	(-0.42268003771393991563-1.03873904097951578327e-13j)
0.59765625	(-0.42008098628515289086-1.03842179463394952466e-13j)
0.62109375	(-0.41751622136848992595-1.0376972927819769327e-13j)
0.64453125	(-0.41498489381926217945-1.0368345870279003558e-13j)
0.66796875	(-0.41248621191312118128-1.035786363956760497e-13j)
0.69140625	(-0.41001938117005215512-1.0351942806386515566e-13j)
0.71484375	(-0.40758365846503952223-1.03421574857653927564e-13j)
0.73828125	(-0.4051782998300270111-1.0339689029256385759e-13j)
