tau	g_0_tau_up
0.125	(-0.48100977793863020082-3.854852898654731225e-17j)
0.25	(-0.46354994180320541197-5.9092469397975562885e-17j)
0.375	(-0.44738627654825363633+6.98889961891401907e-17j)
0.5	(-0.43234669338934350602+4.397689183025920573e-17j)
0.625	(-0.4182978751817573171+2.5744702855234953445e-17j)
0.75	(-0.4051319815293871196+2.7342422060715827672e-18j)
0.875	(-0.39275943257208983939-1.6145066705765154127e-17j)
1.0	(-0.38110442502965541367-3.435667211842663687e-17j)
1.125	(-0.37010191444258822013+6.673041363755135495e-18j)
1.25	(-0.35969547274427593475+4.518748720034281279e-18j)
1.375	(-0.34983570729261143084+3.1686764711676978384e-17j)
1.5	(-0.3404790593037173574-4.6138943428125807344e-18j)
1.625	(-0.33158686907841716796-2.5672714980885688553e-17j)
1.75	(-0.32312463484545683734-1.7992415785224731258e-17j)
1.875	(-0.31506141576759594258-2.5128092648135874707e-18j)
2.0	(-0.30736934460113812806+2.176665563184698466e-17j)
2.125	(-0.3000232252768601504+1.2007767362126026242e-17j)
2.25	(-0.29300019727259463131+1.8705991412449726112e-17j)
2.375	(-0.28627945322714609677-3.517016123748068683e-17j)
2.5	(-0.27984199949598842494+7.945628957665916664e-18j)
2.625	(-0.27367045170349191263-5.9711289831671383313e-18j)
2.75	(-0.26774885908197493256-9.156604830831298119e-18j)
2.875	(-0.26206255268747569165-1.0766020370173672157e-18j)
3.0	(-0.25659801356889011537-3.1971946808383210417e-17j)
3.125	(-0.25134275772594594223+2.6557920659048086013e-17j)
3.25	(-0.2462852352815177448+2.7506266687727881181e-17j)
3.375	(-0.24141474175745425423-1.0700398477818615366e-17j)
3.5	(-0.23672133971078862524-9.452609758672173967e-18j)
3.625	(-0.23219578928140549579-2.0047228379757508153e-17j)
3.75	(-0.22782948643941181022+1.4628556784102285946e-18j)
3.875	(-0.22361440791311759657-2.9718918578025576606e-17j)
4.0	(-0.21954306193610878539+1.136705642069960249e-17j)
4.125	(-0.2156084440814893255-1.1860310837409873317e-17j)
4.25	(-0.21180399755871942569-3.3839495638401332483e-18j)
4.375	(-0.20812357743773413077+3.1877522487099057202e-18j)
4.5	(-0.2045614183397655994+3.0776545091790977367e-18j)
4.625	(-0.20111210519705113864+3.5301646558929665898e-17j)
4.75	(-0.19777054673662530782+9.560169708083669261e-18j)
4.875	(-0.19453195138833756506+3.5365131016581885666e-17j)
5.0	(-0.19139180535552247076-1.767081127178656431e-17j)
5.125	(-0.18834585261938013856-2.4887449264331947896e-18j)
5.25	(-0.18539007667624896047-5.5665913415144048287e-18j)
5.375	(-0.18252068383101421878-1.8383046866419223259e-17j)
5.5	(-0.17973408789074535319-1.0875105640634715235e-17j)
5.625	(-0.17702689612068889247+1.6300904224447694329e-17j)
5.75	(-0.17439589634042762523-4.352951946776602624e-18j)
5.875	(-0.17183804505160882314+1.0692067114688981271e-17j)
6.0	(-0.16935045650061691935-2.9019153558307767102e-17j)
6.125	(-0.16693039258993691565-2.4100654918006209244e-17j)
6.25	(-0.1645752535611635925+1.346874699490698457e-17j)
6.375	(-0.16228256938059820724-3.0217116226076464326e-17j)
6.5	(-0.16004999176552858753-8.047276220058882917e-18j)
6.625	(-0.15787528679553308741-1.3607911861162905946e-17j)
6.75	(-0.15575632805868860897-1.4923420202697838615e-17j)
6.875	(-0.15369109028751076762+8.98881786101981688e-18j)
7.0	(-0.1516776434438279475+5.074468507882106544e-18j)
7.125	(-0.14971414721566655981-4.456217174447722599e-18j)
7.25	(-0.14779884589272446194+1.2511876042834217898e-17j)
7.375	(-0.14593006359012300477+4.053932772783583544e-18j)
7.5	(-0.14410619979285560488+1.2829495200081104359e-17j)
7.625	(-0.14232572519593150728-1.5337988236458390131e-17j)
7.75	(-0.14058717781735957653-4.2266762088254825253e-18j)
7.875	(-0.13888915936319418121+1.7738620229681211307e-17j)
8.0	(-0.1372303318256529181+1.4736533632542507966e-17j)
8.125	(-0.13560941429694201021+9.637446575269598213e-18j)
8.25	(-0.13402517998291296752-1.2020522487171593929e-18j)
8.375	(-0.13247645340202285347+2.7439559534409154818e-17j)
8.5	(-0.13096210775623767786-5.179803341445834194e-18j)
8.625	(-0.12948106246165091981+3.1239501537024655896e-18j)
8.75	(-0.12803228082756895612+3.4932846428461673404e-18j)
8.875	(-0.12661476787371922503+1.674249624882035326e-17j)
9.0	(-0.12522756827604974994-8.2246965352841567166e-18j)
9.125	(-0.12386976443235120371+3.028384488609111707e-17j)
9.25	(-0.1225404746396178135+1.6865544328021291444e-17j)
9.375	(-0.12123885137566070558-2.3002389020746078234e-17j)
9.5	(-0.11996407967807048989-9.446440645663753486e-18j)
9.625	(-0.11871537561416972695-1.03609086651758268535e-17j)
9.75	(-0.11749198483602718568-6.6975341816928306445e-18j)
9.875	(-0.1162931812150691524-2.9116416763454202308e-17j)
10.0	(-0.11511826555121879023-1.8625409131536035262e-17j)
10.125	(-0.113966564351874133365+8.912917422373176166e-18j)
10.25	(-0.11283742867632884366-1.0108540823369573428e-17j)
10.375	(-0.111730233041619331225+2.5586678271012823038e-17j)
10.5	(-0.11064437438598634378+1.6304044202052945622e-17j)
10.625	(-0.109579271086484741904-2.8121679137299983135e-17j)
10.75	(-0.10853436202744709549-2.1751789541878181647e-18j)
10.875	(-0.10750910571677313454-1.4931938508645909694e-17j)
11.0	(-0.10650297944721165422-2.4980498811438037979e-17j)
11.125	(-0.105515478499986326+2.4481601368588930398e-18j)
11.25	(-0.104546115388294780235-1.21124470686446118945e-17j)
11.375	(-0.103594419138385795964+4.5654827702823022367e-18j)
11.5	(-0.10265993460606009924+2.1413121946764270844e-17j)
11.625	(-0.10174222182657161051+1.536654912864862107e-17j)
11.75	(-0.10084085539604936699+1.8487888700337869305e-17j)
11.875	(-0.09995542388269773593+6.0211088901388173694e-18j)
12.0	(-0.099085529266079719335+2.6730333222844963783e-17j)
12.125	(-0.09823078640298749109-1.5674907171757363833e-18j)
12.25	(-0.097390822518403419306-2.8462887831255656839e-18j)
12.375	(-0.096565276720228909735-2.0063424576151296435e-17j)
12.5	(-0.09575379953646662168-3.2595561580909388193e-17j)
12.625	(-0.09495605247369837132+3.3322274490622950233e-17j)
12.75	(-0.09417170759568455063+1.8013943987847036356e-17j)
12.875	(-0.09340044712107753444+1.4811084112429462138e-17j)
13.0	(-0.092641963039196750795+6.466684616341531681e-18j)
13.125	(-0.091895956742986062427-2.9059003811498121763e-18j)
13.25	(-0.091162138678210768994+1.0504161458018985292e-17j)
13.375	(-0.09044022800812839824-3.456225131606444084e-17j)
13.5	(-0.0897299522927871851-5.824904957563689417e-18j)
13.625	(-0.08903104718226290126-2.1405480452265505974e-17j)
13.75	(-0.08834325612310583997+1.5107906294715540377e-17j)
13.875	(-0.08766633007736712724-1.3179230471790974672e-17j)
14.0	(-0.087000027253561817986+6.8746616749812606726e-18j)
14.125	(-0.08634411284899967676+1.2199127325034043665e-18j)
14.25	(-0.08569835880292364649-1.5796906385941584779e-17j)
14.375	(-0.08506254355993186911-3.4536841982008036935e-18j)
14.5	(-0.0844364518432046407-1.910975481304910998e-17j)
14.625	(-0.08381987443704436158+1.9695949589024613891e-17j)
14.75	(-0.08321260797831053768+5.1852511529601084343e-18j)
