wn	g_0_wn_up
-133.97583670621472152	(2.7918591142504360708e-20+0.0074629669932482732564j)
-133.84493701231514251	(4.520355140846133066e-19+0.0074702645914941669114j)
-133.7140373184155635	(5.579322274942859074e-19+0.007477576473034523545j)
-133.58313762451601292	(-3.9705302414726712024e-20+0.0074849026798410635275j)
-133.45223793061640549	(9.4863399013618846e-19+0.0074922432540515540925j)
-133.32133823671685491	(-6.799178965223076954e-20+0.0074995982379697278056j)
-133.1904385428172759	(8.772533307146375955e-19+0.0075069676740658307368j)
-133.0595388489176969	(4.9775753871180760905e-19+0.0075143516049772920637j)
-132.92863915501811789	(7.4266361249710926704e-19+0.007521750073509507299j)
-132.79773946111853888	(8.4565205974788872796e-19+0.00752916312263663106j)
-132.6668397672189883	(-1.9128043740314119137e-19+0.0075365907955023715703j)
-132.53594007331938087	(1.0597581395018851727e-18+0.00754403313542084588j)
-132.40504037941983029	(1.4197013094929593229e-19+0.007551490185877370899j)
-132.27414068552025128	(-4.7758076426190800288e-19+0.007558961990529348106j)
-132.14324099162067228	(-1.3751665312001608105e-18+0.007566448593207073664j)
-132.01234129772109327	(9.601745607310132424e-20+0.0075739500379146231304j)
-131.88144160382151426	(1.601525504633920319e-18+0.0075814663688306832556j)
-131.75054190992196368	(-1.4144319737057335545e-19+0.007588997630309430621j)
-131.61964221602235625	(2.4097902050944551598e-19+0.007596543866881417216j)
-131.48874252212280567	(3.2795285404864547958e-19+0.0076041051232544048383j)
-131.35784282822322666	(-1.3893174483078221072e-19+0.0076116814443142949073j)
-131.22694313432364766	(-1.3216723379377202623e-18+0.0076192728751259871517j)
-131.09604344042406865	(2.7157693922374153855e-19+0.0076268794609342677876j)
-130.96514374652448964	(1.5952503262028927533e-20+0.0076345012471647358612j)
-130.83424405262493906	(-5.6137618691340355664e-19+0.0076421382794246688758j)
-130.70334435872536005	(3.705229567151537536e-20+0.007649790603503971685j)
-130.57244466482578105	(2.3875359321795468728e-19+0.0076574582653760577336j)
-130.44154497092620204	(-9.2761432032462903104e-20+0.007665141311198787541j)
-130.31064527702662303	(-3.7153397485263566527e-20+0.0076728397873153889736j)
-130.17974558312704403	(1.9235802927311313628e-19+0.0076805537402553853213j)
-130.04884588922746502	(7.8702257009323822163e-19+0.0076882832167355415892j)
-129.91794619532791444	(7.3658212586230119364e-19+0.007696028263660796044j)
-129.78704650142833543	(1.9577189524825913402e-19+0.0077037889281252151796j)
-129.65614680752875643	(4.0921911504174807356e-19+0.0077115652574129478145j)
-129.52524711362917742	(2.263754580261266238e-19+0.0077193572989991852615j)
-129.39434741972959841	(3.9664145189812921188e-19+0.0077271651005511145585j)
-129.26344772583004783	(-9.724930310642917084e-21+0.0077349887099289098627j)
-129.1325480319304404	(-1.71874900444932390765e-18+0.0077428281751867064978j)
-129.00164833803088982	(4.390771070678238982e-20+0.007750683544573555052j)
-128.87074864413131081	(2.8147109845032375071e-18+0.0077585548665344535382j)
-128.7398489502317318	(3.2773257719772636754e-19+0.0077664421897113396567j)
-128.6089492563321528	(8.203236937768169349e-20+0.007774345562944028412j)
-128.4780495624325738	(7.4085851966189437677e-19+0.007782265035271307592j)
-128.34714986853302321	(-1.0148202384986403831e-19+0.007790200655931889262j)
-128.21625017463341578	(8.6151914551245795863e-19+0.007798152474365476622j)
-128.0853504807338652	(-2.2639120445683986526e-19+0.0078061205402137328474j)
-127.95445078683428619	(-1.7117820350046204299e-19+0.007814104903321374834j)
-127.823551092934721396	(4.748287253624942834e-19+0.007822105613737164592j)
-127.69265139903512818	(2.905917879464555613e-19+0.007830122721714988243j)
-127.561751705135563384	(-5.797537892567004026e-19+0.007838156277714879508j)
-127.43085201123598438	(-2.7297408778401791756e-19+0.007846206332404103909j)
-127.29995231733640537	(6.449874334519953213e-19+0.0078542729366581996026j)
-127.169052623436826366	(1.6726086219950742938e-19+0.007862356141562066789j)
-127.03815292953726157	(1.5014019392133487125e-19+0.007870455998411038032j)
-126.907253235637696775	(-6.634653972612021204e-18+0.007878572558711962465j)
-126.77635354173810356	(2.0121089931326661483e-19+0.007886705874184309073j)
-126.64545384783853876	(8.693690746703016031e-19+0.007894855996761237019j)
-126.51455415393895976	(5.3923297644404335134e-19+0.0079030229785907162715j)
-126.38365446003939496	(1.2400336909619424868e-19+0.007911206872036660384j)
-126.252754766139801745	(1.33676704738773817815e-18+0.007919407729680014163j)
-126.12185507224023695	(-1.355052701788865849e-19+0.007927625604319891647j)
-125.990955378340672155	(-1.107739927455347562e-18+0.007935860548974701945j)
-125.86005568444107894	(-2.1294199500900065538e-21+0.007944112616883306291j)
-125.72915599054151414	(3.079598898497215252e-20+0.007952381861506136948j)
-125.59825629664193514	(1.0697264146159386942e-18+0.007960668336526387223j)
-125.46735660274237034	(-5.376367162207677755e-20+0.0079689720958511407745j)
-125.336456908842777125	(1.0552901065852887133e-18+0.007977293193612552957j)
-125.20555721494321233	(6.0034974074105007034e-20+0.0079856316841690234976j)
-125.074657521043647534	(2.6705909887432126969e-19+0.007993987622106388247j)
-124.94375782714405432	(7.2104737021490469737e-19+0.008002361062239103998j)
-124.81285813324448952	(-1.341511275742588658e-18+0.008010752059611438505j)
-124.681958439344910516	(2.2816502206491130405e-20+0.008019160669498689997j)
-124.55105874544534572	(6.297918182472470761e-20+0.008027586947408387602j)
-124.420159051545752504	(6.290235627957483435e-19+0.008036030949081528207j)
