wn	g_0_wn_up
-50.24093876483052	(-8.248638891153738e-18+0.019901224182419314j)
-50.19185137961818	(-1.5674683852903542e-17+0.01991846974580606j)
-50.14276399440584	(-1.0719652254430245e-17+0.019937517666219276j)
-50.0936766091935	(-5.317227689231068e-18+0.019957824923877317j)
-50.044589223981156	(-1.0974690944510036e-18+0.019978092979229877j)
-49.99550183876882	(-7.558767298200472e-19+0.01999817463812572j)
-49.94641445355648	(-6.250437975777584e-19+0.020018141080534277j)
-49.89732706834413	(1.796827244008096e-19+0.020038051164471795j)
-49.848239683131794	(1.2634440398243642e-20+0.020057940148376474j)
-49.799152297919456	(-9.24797100306647e-20+0.02007782874205875j)
-49.75006491270712	(-1.6494962725815652e-19+0.020097729507237205j)
-49.70097752749477	(1.712793905288792e-19+0.02011765038802975j)
-49.65189014228243	(-1.4846261988108902e-19+0.02013759661854196j)
-49.602802757070094	(-1.7505973879971247e-20+0.020157571779894638j)
-49.553715371857756	(-9.108313594835245e-20+0.02017757840739832j)
-49.50462798664541	(1.2378874930376645e-19+0.020197618352410986j)
-49.45554060143307	(6.144848007931885e-20+0.020217693005588448j)
-49.40645321622073	(-2.810509655060652e-21+0.020237803439032913j)
-49.35736583100839	(1.4799221946694466e-19+0.020257950499410423j)
-49.30827844579605	(7.076095891466391e-20+0.020278134870525422j)
-49.25919106058371	(4.598365150923152e-20+0.02029835711634528j)
-49.21010367537137	(7.574411364483411e-21+0.020318617711199298j)
-49.161016290159026	(1.1432182461206755e-19+0.020338917061373984j)
-49.11192890494669	(1.1021811821899296e-19+0.02035925552081867j)
-49.06284151973435	(3.72437251897732e-20+0.02037963340274443j)
-49.01375413452201	(-2.6190878447023446e-21+0.020400050988310943j)
-48.964666749309664	(8.75330191938637e-20+0.020420508533216433j)
-48.915579364097326	(5.1792903627146974e-20+0.020441006272756104j)
-48.86649197888499	(3.474358828640141e-20+0.02046154442574745j)
-48.81740459367264	(1.1367492462272043e-19+0.02048212319760703j)
-48.7683172084603	(4.1481840327141444e-20+0.020502742782784678j)
-48.719229823247964	(3.928142284379367e-20+0.020523403366706158j)
-48.670142438035626	(9.607302588842268e-21+0.020544105127336048j)
-48.62105505282328	(9.067265142907405e-20+0.02056484823644468j)
-48.57196766761094	(5.806025804391397e-20+0.02058563286064241j)
-48.5228802823986	(3.4871146281187775e-20+0.02060645916222967j)
-48.473792897186264	(-1.037021555147816e-20+0.02062732729989989j)
-48.42470551197392	(7.062682614368026e-20+0.020648237429324267j)
-48.37561812676158	(6.092364390975535e-20+0.020669189703640952j)
-48.32653074154924	(1.3698556697384507e-19+0.02069018427386645j)
-48.277443356336896	(9.663646233999237e-20+0.02071122128924333j)
-48.22835597112456	(6.127233798811302e-20+0.020732300897535513j)
-48.17926858591222	(4.650690007301365e-20+0.020753423245280213j)
-48.13018120069988	(3.910049903931428e-20+0.020774588478003817j)
-48.081093815487534	(7.14817279599272e-20+0.020795796740407622j)
-48.032006430275196	(5.3130217484651115e-20+0.0208170481765283j)
-47.98291904506286	(4.874219635500801e-20+0.020838342929877095j)
-47.93383165985052	(2.1615846196764834e-20+0.020859681143560942j)
-47.88474427463817	(7.432305528855968e-20+0.020881062960388337j)
-47.835656889425834	(3.791749368495077e-20+0.02090248852296208j)
-47.786569504213496	(4.063257948963662e-20+0.020923957973760957j)
-47.73748211900115	(8.099407577792714e-20+0.020945471455211754j)
-47.68839473378881	(5.425099232814566e-20+0.020967029109753055j)
-47.63930734857647	(5.096132019436597e-20+0.02098863107989193j)
-47.590219963364135	(-2.1779522766409273e-20+0.021010277508254425j)
-47.54113257815179	(7.061034861711327e-20+0.0210319685376307j)
-47.49204519293945	(1.0454085614246258e-19+0.02105370431101551j)
-47.44295780772711	(4.884073041848403e-20+0.021075484971644614j)
-47.39387042251477	(2.636968758277012e-20+0.021097310663027585j)
-47.34478303730243	(5.581290593097277e-20+0.021119181528977536j)
-47.29569565209009	(3.645528480184345e-20+0.021141097713638046j)
-47.24660826687775	(3.255072421794309e-20+0.02116305936150772j)
-47.197520881665405	(7.24965026149138e-20+0.021185066617462577j)
-47.148433496453066	(5.009143119437182e-20+0.021207119626776506j)
-47.09934611124073	(4.49743052273187e-20+0.02122921853514015j)
-47.05025872602839	(4.588642091041481e-20+0.02125136348867819j)
-47.00117134081604	(6.27980247775537e-20+0.021273554633965398j)
-46.952083955603705	(3.9726139003531585e-20+0.021295792118041407j)
-46.902996570391366	(3.6369683521276876e-20+0.021318076088424554j)
-46.85390918517902	(8.786106921917395e-20+0.021340406693124685j)
-46.80482179996668	(5.64091356392809e-20+0.021362784080655138j)
-46.75573441475434	(4.064020684812265e-20+0.021385208400044035j)
-46.706647029542005	(3.415520510490298e-20+0.02140767980084482j)
-46.65755964432966	(6.839532129272125e-20+0.021430198433146228j)
-46.60847225911732	(4.6581916921682705e-20+0.021452764447581707j)
-46.55938487390498	(4.519072280081063e-20+0.02147537799533836j)
-46.51029748869264	(4.3261890933185276e-20+0.02149803922816541j)
-46.4612101034803	(7.119903371238297e-20+0.021520748298382315j)
-46.41212271826796	(7.440563793949523e-20+0.02154350535888647j)
-46.36303533305562	(4.4655457783784915e-20+0.021566310563160655j)
-46.313947947843275	(7.941277283982969e-20+0.021589164065280116j)
-46.264860562630936	(6.093731092997249e-20+0.02161206601991943j)
-46.2157731774186	(3.457280453527749e-20+0.021635016582359123j)
-46.16668579220626	(-3.3361106974316485e-20+0.02165801590849205j)
-46.11759840699391	(5.860501135206508e-20+0.021681064154829625j)
-46.068511021781575	(1.7997373596047577e-21+0.021704161478507806j)
-46.019423636569236	(2.296453487907505e-20+0.021727308037292996j)
-45.9703362513569	(3.45199061352749e-20+0.021750503989587746j)
-45.92124886614455	(9.570876915406274e-20+0.021773749494436355j)
-45.87216148093221	(3.1976437921338177e-19+0.021797044711530326j)
-45.823074095719875	(1.1775509732727966e-20+0.021820389801213758j)
-45.77398671050753	(6.61757049500637e-20+0.021843784924488602j)
-45.72489932529519	(9.80622672028127e-20+0.02186723024301984j)
-45.67581194008285	(2.8659184198143795e-20+0.021890725919140607j)
-45.62672455487051	(5.284996001159972e-20+0.02191427211585722j)
-45.57763716965817	(7.505909849876293e-20+0.02193786899685417j)
-45.52854978444583	(4.4434253027908617e-20+0.02196151672649901j)
-45.47946239923349	(3.663739459425954e-20+0.021985215469847254j)
-45.43037501402115	(2.346143039293636e-20+0.02200896539264719j)
-45.381287628808806	(7.12057931692334e-20+0.022032766661344697j)
-45.33220024359647	(6.017850818339812e-20+0.022056619443087944j)
-45.28311285838413	(5.119619353185157e-20+0.02208052390573218j)
-45.23402547317178	(6.839255752466216e-20+0.0221044802178444j)
-45.184938087959445	(6.503858605091239e-20+0.022128488548708008j)
-45.135850702747106	(4.8261333190717207e-20+0.022152549068327525j)
-45.08676331753477	(1.0045983819974223e-20+0.02217666194743319j)
-45.03767593232242	(5.331108983395684e-20+0.022200827357485634j)
-44.98858854711008	(5.032100791540199e-20+0.02222504547068047j)
-44.939501161897745	(4.291531274711405e-20+0.022249316459952928j)
-44.890413776685406	(2.5596723861764014e-20+0.02227364049898247j)
-44.84132639147306	(4.882887677029874e-20+0.022298017762197423j)
-44.79223900626072	(4.756515444198283e-20+0.02232244842477953j)
-44.74315162104838	(3.425469946334218e-20+0.022346932662668635j)
-44.69406423583604	(3.2983390989697406e-20+0.022371470652567275j)
-44.6449768506237	(5.946233874976352e-20+0.022396062571945277j)
-44.59588946541136	(7.062994697365075e-20+0.022420708599044444j)
-44.54680208019902	(4.5518795624781194e-20+0.022445408912883144j)
-44.497714694986676	(4.943367135148182e-20+0.02247016369326101j)
-44.44862730977434	(5.163507854098823e-20+0.02249497312076355j)
-44.399539924562	(5.172835789081094e-20+0.02251983737676687j)
-44.35045253934966	(2.9970305325486726e-20+0.02254475664344232j)
-44.301365154137315	(1.2489687864805467e-19+0.02256973110376125j)
-44.252277768924976	(6.260185616951964e-20+0.022594760941499672j)
-44.20319038371264	(2.1784702925100882e-20+0.02261984634124304j)
-44.15410299850029	(7.013273339573967e-20+0.022644987488390996j)
-44.105015613287954	(6.378305608806843e-20+0.02267018456916213j)
-44.055928228075615	(4.7610088225755406e-20+0.022695437770598785j)
-44.00684084286328	(3.6145009426402e-20+0.022720747280571888j)
-43.95775345765093	(5.148493716333924e-20+0.02274611328778576j)
-43.90866607243859	(6.209881748098559e-20+0.022771535981782973j)
-43.859578687226254	(5.498932225234514e-20+0.022797015552949277j)
-43.810491302013915	(3.866908845469715e-20+0.022822552192518438j)
-43.76140391680157	(5.446890947893787e-20+0.02284814609257724j)
-43.71231653158923	(4.847571894582919e-20+0.022873797446070383j)
-43.66322914637689	(4.9302365349419923e-20+0.02289950644680549j)
-43.61414176116455	(6.11254688739466e-20+0.022925273289458113j)
-43.56505437595221	(4.9682756434524556e-20+0.022951098169576765j)
-43.51596699073987	(4.5373765627588073e-20+0.022976981283587977j)
-43.46687960552753	(4.8130028298342935e-20+0.023002922828801398j)
-43.417792220315185	(3.00962373543361e-19+0.023028923003414904j)
-43.36870483510285	(5.891259719318347e-20+0.02305498200651975j)
-43.31961744989051	(3.6254300254428373e-20+0.02308110003810575j)
-43.27053006467817	(4.1713753743936376e-20+0.02310727729906647j)
-43.221442679465824	(5.666555091825346e-20+0.023133513991204488j)
-43.172355294253485	(6.033775999151199e-20+0.02315981031723664j)
-43.12326790904115	(6.158315637935013e-20+0.023186166480799332j)
-43.0741805238288	(9.187028546940815e-20+0.023212582686453886j)
-43.02509313861646	(5.0767344857987443e-20+0.02323905913969186j)
-42.976005753404124	(4.963171700657957e-20+0.023265596046940517j)
-42.926918368191785	(4.909807443301077e-20+0.023292193615568182j)
-42.87783098297944	(6.995303093990122e-20+0.023318852053889758j)
-42.8287435977671	(6.992785788537612e-20+0.023345571571172195j)
-42.77965621255476	(4.293164174169772e-20+0.02337235237764005j)
-42.730568827342424	(2.4946424231972204e-20+0.02339919468448103j)
-42.68148144213008	(6.741777207995875e-20+0.023426098703851626j)
-42.63239405691774	(4.230648398575423e-20+0.023453064648882714j)
-42.5833066717054	(7.448933923736413e-21+0.023480092733685277j)
-42.534219286493055	(4.8125720575560907e-20+0.023507183173356084j)
-42.48513190128072	(5.190345930503838e-20+0.02353433618398346j)
-42.43604451606838	(3.5145542050313024e-20+0.02356155198265306j)
-42.38695713085604	(4.765320697204924e-20+0.023588830787453708j)
-42.337869745643694	(1.0101407069530291e-19+0.02361617281748327j)
-42.288782360431355	(9.194569481325765e-20+0.023643578292854513j)
-42.23969497521902	(5.2976141594165664e-20+0.02367104743470111j)
-42.19060759000668	(3.283925085321165e-20+0.023698580465183576j)
-42.14152020479433	(1.0640886031228151e-19+0.023726177607495316j)
-42.092432819581994	(5.511166479880631e-20+0.023753839085868665j)
-42.043345434369655	(4.852410076170493e-20+0.023781565125581026j)
-41.99425804915731	(7.966169719285796e-20+0.02380935595296097j)
-41.94517066394497	(4.0916117024192216e-20+0.023837211795394463j)
-41.89608327873263	(5.341260704409349e-20+0.023865132881331068j)
-41.846995893520294	(5.476947230441241e-20+0.023893119440290232j)
-41.79790850830795	(4.9227422935268575e-20+0.023921171702867595j)
-41.74882112309561	(4.917235835432972e-20+0.023949289900741334j)
-41.69973373788327	(4.495520334176203e-20+0.02397747426667859j)
-41.65064635267093	(4.1767097143581384e-20+0.024005725034541885j)
-41.60155896745859	(5.357680772613463e-20+0.02403404243929563j)
-41.55247158224625	(8.647416632296958e-20+0.024062426717012645j)
-41.50338419703391	(5.537873038611244e-20+0.024090878104880763j)
-41.454296811821564	(5.510951364900084e-20+0.02411939684120942j)
-41.405209426609225	(4.9001558054826586e-20+0.02414798316543635j)
-41.35612204139689	(3.4560314442366126e-20+0.02417663731813429j)
-41.30703465618455	(3.429768310657201e-20+0.024205359541017768j)
-41.2579472709722	(4.6027496844591714e-20+0.024234150076949883j)
-41.208859885759864	(1.0670480182959898e-19+0.02426300916994918j)
-41.159772500547525	(5.213534822385002e-20+0.024291937065196553j)
-41.11068511533519	(5.524193367529265e-20+0.024320934009042228j)
-41.06159773012284	(6.319868953362119e-20+0.02435000024901272j)
-41.0125103449105	(6.492772322009671e-20+0.02437913603381793j)
-40.963422959698164	(2.369793498997691e-19+0.024408341613358232j)
-40.91433557448582	(4.7812165468154956e-20+0.024437617238731637j)
-40.86524818927348	(6.127056259223063e-20+0.02446696316224097j)
-40.81616080406114	(4.6630332143546237e-20+0.02449637963740118j)
-40.7670734188488	(5.037479632719296e-20+0.024525866918946617j)
-40.71798603363646	(7.404121719360013e-20+0.024555425262838392j)
-40.66889864842412	(5.547617735323674e-20+0.024585054926271794j)
-40.61981126321178	(7.807379858297913e-20+0.024614756167683768j)
-40.570723877999434	(6.054391811248138e-20+0.02464452924676044j)
-40.521636492787096	(6.05117005416403e-20+0.024674374424444662j)
-40.47254910757476	(3.4056917831690736e-21+0.02470429196294368j)
-40.42346172236242	(6.105068609893602e-20+0.024734282125736796j)
-40.37437433715007	(4.4213993688302725e-20+0.024764345177583125j)
-40.325286951937734	(8.214709109104654e-20+0.02479448138452936j)
-40.276199566725396	(7.001353583851641e-20+0.02482469101391767j)
-40.22711218151306	(1.480991995690812e-20+0.024854974334393567j)
-40.17802479630071	(5.60453618036122e-20+0.024885331615913917j)
-40.12893741108837	(6.03791874125673e-20+0.02491576312975492j)
-40.079850025876034	(8.982607873159386e-20+0.024946269148520238j)
-40.03076264066369	(7.891045846889214e-20+0.02497684994614911j)
-39.98167525545135	(1.0161946662792465e-19+0.025007505797924552j)
-39.93258787023901	(5.593471211399565e-20+0.025038236980481646j)
-39.88350048502667	(2.0393982652695505e-20+0.025069043771815857j)
-39.83441309981433	(7.793415940286977e-20+0.025099926451291388j)
-39.78532571460199	(7.734868458031205e-20+0.025130885299649654j)
-39.73623832938965	(6.596660306105467e-20+0.025161920599017805j)
-39.68715094417731	(1.0612460440520056e-19+0.025193032632917257j)
-39.638063558964966	(6.136251376070535e-20+0.025224221686272363j)
-39.58897617375263	(6.399895880952625e-20+0.025255488045419085j)
-39.53988878854029	(1.743249861784118e-20+0.02528683199811378j)
-39.49080140332794	(8.379378121334096e-20+0.025318253833542016j)
-39.441714018115604	(8.300851742484913e-20+0.02534975384232747j)
-39.392626632903266	(3.235910879731628e-20+0.025381332316540876j)
-39.34353924769093	(4.6694080056970984e-20+0.025412989549709088j)
-39.29445186247858	(-1.6579938635836404e-20+0.025444725836824122j)
-39.24536447726624	(5.2693217516394317e-20+0.025476541474352358j)
-39.196277092053904	(5.0448105804581223e-20+0.02550843676024376j)
-39.147189706841566	(9.857710151906213e-20+0.02554041199394118j)
-39.09810232162922	(6.092489725638372e-20+0.025572467476389707j)
-39.04901493641688	(4.0412037885878434e-20+0.02560460351004613j)
-38.99992755120454	(6.850992794388148e-20+0.02563682039888845j)
-38.9508401659922	(1.4099813452538793e-19+0.02566911844842545j)
-38.90175278077986	(5.644510729922338e-20+0.025701497965706352j)
-38.85266539556752	(6.640398749077921e-20+0.02573395925933055j)
-38.80357801035518	(4.136269897416278e-20+0.025766502639457418j)
-38.754490625142836	(6.630775471346287e-20+0.02579912841781617j)
