tau	g_0_tau_up
0.01171875	(-0.4985640912627571919-1.1218782612188413727e-17j)
0.03515625	(-0.49573900344305726895+8.8021850263632696666e-18j)
0.05859375	(-0.49298153718980203264+1.5788546776963558768e-17j)
0.08203125	(-0.4902869056057949093+2.117490703599182901e-17j)
0.10546875	(-0.48765444252027212446+1.0314808299900506871e-17j)
0.12890625	(-0.4850816387230339477-9.961385192063585202e-18j)
0.15234375	(-0.48256716441523156425+5.5534399797224943e-18j)
0.17578125	(-0.48010901443604814265+2.7476921443062956564e-17j)
0.19921875	(-0.47770576322711866268+1.5227202037088693677e-17j)
0.22265625	(-0.475355651367810772+1.6585095724979837157e-17j)
0.24609375	(-0.47305727520744667025+4.987911570335662631e-18j)
0.26953125	(-0.47080904152015434772+1.9737674199017153829e-17j)
0.29296875	(-0.46860960386876449046+1.1121394015131433614e-17j)
0.31640625	(-0.4664574996574395449+3.482585227920562704e-17j)
0.33984375	(-0.46435145108877412534-4.9687259087422485938e-18j)
0.36328125	(-0.46229010599084796596+5.7416416722706726643e-18j)
0.38671875	(-0.46027225787738790252+1.1613342210256906641e-17j)
0.41015625	(-0.458296651490896656+2.0200264306637047936e-17j)
0.43359375	(-0.4563621506734851785+9.584387738345166211e-18j)
0.45703125	(-0.45446758700867451175+2.9955404526221417758e-17j)
0.48046875	(-0.45261189206653651418+3.3331324113634684438e-17j)
0.50390625	(-0.4507939762037465603+3.7139244109545431955e-17j)
0.52734375	(-0.44901283541181091774+1.553611115912292134e-17j)
0.55078125	(-0.44726745205241391634+3.775285252990034404e-17j)
0.57421875	(-0.44555688296717188557+5.647780841929427057e-18j)
0.59765625	(-0.44388017667105927888+4.709474666235705977e-18j)
0.62109375	(-0.44223644724441540932-3.931434096605745423e-18j)
0.64453125	(-0.4406248041942882332-1.7898627152241325044e-19j)
0.66796875	(-0.43904441530563831364+2.552640420471549814e-17j)
0.69140625	(-0.4374944464637881003+8.654985980999819478e-18j)
0.71484375	(-0.43597411576251016152+1.6859984106108355079e-17j)
0.73828125	(-0.43448264130245289882+3.9778585503834167998e-17j)
0.76171875	(-0.43301928825883728713+4.3989567218540307135e-17j)
0.78515625	(-0.431583323166638555+1.29334396636656353395e-17j)
0.80859375	(-0.4301740552363522152+2.2511708755636212546e-17j)
0.83203125	(-0.4287907959866549823+1.5304720031731413166e-17j)
0.85546875	(-0.42743289580106291758+3.609526507637724418e-18j)
0.87890625	(-0.42609970802150398672+2.1609958586343353694e-17j)
0.90234375	(-0.42479062152313684653+1.585742414309395163e-17j)
0.92578125	(-0.42350502856847038746+3.4619896292182342508e-17j)
0.94921875	(-0.422242354017465793+7.444805476459267642e-18j)
0.97265625	(-0.42100202638150507894+2.4506285454810346952e-17j)
0.99609375	(-0.41978350416491272412+4.2952757411439907817e-17j)
1.01953125	(-0.41858624966451429827-5.5618824435481519232e-18j)
1.04296875	(-0.4174097528459380646+8.998362991067866032e-18j)
1.06640625	(-0.41625350751678413808+1.45486775033116886e-18j)
1.08984375	(-0.4151170330689613608+1.3049847395402939241e-17j)
1.11328125	(-0.41399985271790817887+2.949815599772233577e-17j)
1.13671875	(-0.41290151338551428495+2.721666937663871091e-17j)
1.16015625	(-0.41182156574884792866+1.415259954118111148e-17j)
1.18359375	(-0.41075958249311733672+1.9231668827630237964e-17j)
1.20703125	(-0.40971513995420427712-4.4739254570012578155e-18j)
1.23046875	(-0.4086878349348938011+2.164393938993511361e-17j)
1.25390625	(-0.40767726775851642618+3.49591360205532671e-17j)
1.27734375	(-0.40668305781232105822+3.4888961119311565306e-17j)
1.30078125	(-0.4057048278564450161+1.31666613245197949636e-17j)
1.32421875	(-0.40474221843429314394+1.5652356125841777033e-17j)
1.34765625	(-0.40379487330318020177+4.3713961650279542926e-17j)
1.37109375	(-0.402862452831821094+4.9366348164927944704e-18j)
1.39453125	(-0.4019446204373023912+2.7736839285437408252e-17j)
1.41796875	(-0.40104105507338516645+3.7065612041399421584e-17j)
1.44140625	(-0.40015143857374491088+1.2108366448819451356e-17j)
1.46484375	(-0.39927546732109103766+1.0704015600773873303e-17j)
1.48828125	(-0.39841284040944507927+2.6865993290379638097e-17j)
1.51171875	(-0.39756327057255891333+1.2966422508314209911e-17j)
1.53515625	(-0.39672647308883368655+2.4510509366443703901e-17j)
1.55859375	(-0.3959021760377935406+2.0581062071504662683e-17j)
1.58203125	(-0.39509010988044357404+1.7870636428754153081e-17j)
1.60546875	(-0.39429001710428090988+3.0781060705220761147e-17j)
1.62890625	(-0.39350164241975033041+2.3579790005163671023e-17j)
1.65234375	(-0.39272474184720496115+1.473240172751936914e-17j)
1.67578125	(-0.39195907347685465805+2.406818618334126478e-17j)
1.69921875	(-0.39120440604503048387+1.8100139344068215716e-17j)
1.72265625	(-0.3904605102108211767+1.1262298890271718627e-17j)
1.74609375	(-0.38972716666377349437+2.2890618549687391692e-17j)
1.76953125	(-0.38900415787543968227+2.6374841876979206774e-17j)
1.79296875	(-0.38829127577611544098+1.807162866863434057e-17j)
1.81640625	(-0.38758831394389214875+1.6120299884249550787e-17j)
1.83984375	(-0.38689507488410118663+1.4094716095785781518e-17j)
1.86328125	(-0.38621136262228111802+1.4594689562748384136e-17j)
1.88671875	(-0.38553698961655830102+1.7228391067291443463e-17j)
1.91015625	(-0.38487176972427983301+2.1364782959332743874e-17j)
1.93359375	(-0.3842155247745601132+1.1929695402042139036e-17j)
1.95703125	(-0.38356807788125873993+1.2687767900616786958e-17j)
1.98046875	(-0.3829292597002831311+2.3024409774957298777e-17j)
2.00390625	(-0.38229890206418132292+1.915053374880634867e-17j)
2.02734375	(-0.38167684394645956525+1.0286666482396341939e-17j)
2.05078125	(-0.3810629253953471407+8.388268123762349501e-18j)
2.07421875	(-0.3804569932253345499+2.963781793059468175e-17j)
2.09765625	(-0.37985889522969551457+1.8851505992814474352e-17j)
2.12109375	(-0.37926848561762155354+2.2312305529712742504e-17j)
2.14453125	(-0.37868561948689893892+1.22715912418258328245e-17j)
2.16796875	(-0.37811015802338909797+1.4159732733193462515e-17j)
2.19140625	(-0.37754196321686650517+1.8541443440655989507e-17j)
2.21484375	(-0.3769809028381522764+2.0180841209741973608e-18j)
2.23828125	(-0.3764268453825579952+1.0351260016920702062e-17j)
2.26171875	(-0.37587966483868068268+2.6066246984488404022e-17j)
2.28515625	(-0.37533923584519540695+2.0170307271436263939e-17j)
2.30859375	(-0.37480543826415957387+2.9345138062021115935e-17j)
2.33203125	(-0.37427815253805318818+2.7726216149488979308e-17j)
2.35546875	(-0.37375726407940218499+1.6862011715351947287e-17j)
2.37890625	(-0.37324265881600821038+2.7971770022067610483e-17j)
2.40234375	(-0.3727342274077665163+2.4897478277805410627e-17j)
2.42578125	(-0.37223186096896732078+1.7002724581192544969e-17j)
2.44921875	(-0.37173545512233363564+1.8328429164548112533e-17j)
2.47265625	(-0.37124490588814074155+4.7842605307057197703e-18j)
2.49609375	(-0.37076011358472471535+2.742990606093378808e-17j)
2.51953125	(-0.370280978874936606+2.0884421255376594361e-17j)
2.54296875	(-0.3698074065216920836+1.8255273655832509275e-17j)
2.56640625	(-0.3693393015829678494+5.8523633558608220827e-18j)
2.58984375	(-0.3688765730303331103+1.03799059019188728254e-17j)
2.61328125	(-0.36841913008434595822+1.87536598321313424e-17j)
2.63671875	(-0.3679668857034228413+1.728124573708447398e-17j)
2.66015625	(-0.36751975305207362776+2.1107004460208061328e-17j)
2.68359375	(-0.3670776488669559301+8.218609451019813898e-18j)
2.70703125	(-0.36664049005090970645+1.9817636818254465892e-17j)
2.73046875	(-0.36620819692256423306+5.2420328971770927927e-18j)
2.75390625	(-0.36578068992962520234+3.009189541913321608e-17j)
2.77734375	(-0.3653578927879647109+1.5768100096836295414e-17j)
2.80078125	(-0.36493972930806106714+2.1507027419009200172e-17j)
2.82421875	(-0.36452612642910053875+1.05935580376766047526e-17j)
2.84765625	(-0.36411701115287198327+1.17149811319120291375e-17j)
2.87109375	(-0.3637123134780525513+2.3353891494902948323e-17j)
2.89453125	(-0.3633119634362355077+8.470619881869726189e-18j)
2.91796875	(-0.36291589393122813956+1.8392526700897667466e-17j)
2.94140625	(-0.36252403787223519416+7.419334396816722026e-18j)
2.96484375	(-0.36213633092269625902+1.08074965847214347064e-17j)
2.98828125	(-0.3617527087259623242+2.2142217619164008565e-17j)
3.01171875	(-0.36137310956790935634+1.7744406358066019735e-17j)
3.03515625	(-0.36099747169073970188+1.5725321555345786349e-17j)
3.05859375	(-0.360625735873353781+1.5505857717535973535e-17j)
3.08203125	(-0.36025784282917272527+1.35024510893509170975e-17j)
3.10546875	(-0.3598937357080012056+3.041246264808324153e-17j)
3.12890625	(-0.35953335757402693496+1.7403122321742883939e-17j)
3.15234375	(-0.35917665383268371215+2.7493928185984167315e-17j)
3.17578125	(-0.35882356978520724144+2.6096152872354646185e-17j)
3.19921875	(-0.35847405298380419225+1.2115970168736910151e-17j)
3.22265625	(-0.35812805085935689453+7.9732795375920329964e-18j)
3.24609375	(-0.3577855130080123125+1.6276687615902872124e-17j)
3.26953125	(-0.3574463888888296248+1.841045708144567317e-17j)
3.29296875	(-0.35711063004471743643+6.0514941291700340115e-18j)
3.31640625	(-0.3567781878670069906+2.0760614720485661735e-17j)
3.33984375	(-0.35644901575350473877+2.358903695383382475e-17j)
3.36328125	(-0.35612306693713491335+1.8588884282271577143e-17j)
3.38671875	(-0.3558002965837272491+5.6248244430478317005e-18j)
3.41015625	(-0.35548065968203268472+9.33191941994388212e-19j)
3.43359375	(-0.3551641130837164817+2.4910098365615979032e-17j)
3.45703125	(-0.35485061345220680895+1.0286137534860474161e-17j)
3.48046875	(-0.35454011924722761417+7.911061355594195461e-18j)
3.50390625	(-0.35423258873007146263+1.04236889163998923415e-19j)
3.52734375	(-0.35392798189488716698+2.0666499075433427252e-17j)
3.55078125	(-0.35362625852810292137+2.0428613304996599097e-17j)
3.57421875	(-0.3533273800885596838+1.8968473743059405054e-17j)
3.59765625	(-0.3530313078189289966+1.4514460798148983136e-17j)
3.62109375	(-0.35273800457668147423+1.4823423303490349023e-17j)
3.64453125	(-0.35244743299545339132+5.102778833278451372e-18j)
3.66796875	(-0.35215955726873809928+1.9603003232699939798e-17j)
3.69140625	(-0.35187434135926010104+2.4317967190111051866e-17j)
3.71484375	(-0.35159175073717729987+2.2149535548179828748e-17j)
3.73828125	(-0.35131175063563041538+1.005411475167370364e-17j)
3.76171875	(-0.35103430774515342883+1.4697839984643655576e-17j)
3.78515625	(-0.350759388513646575+1.5901272935666599343e-17j)
3.80859375	(-0.3504869607986155211+1.19090407366125482775e-17j)
3.83203125	(-0.35021699220990920587+1.9979148106621943764e-17j)
3.85546875	(-0.3499494517213245226+1.30798922151462319694e-17j)
3.87890625	(-0.34968430805452865862+2.0689131977763796919e-17j)
3.90234375	(-0.3494215312514943328+1.9159652691276709816e-17j)
3.92578125	(-0.34916109109810666844+2.5598424511437945855e-17j)
3.94921875	(-0.34890295865881820747+2.6172892072142415668e-18j)
3.97265625	(-0.34864710473851645567+1.0634273108197383604e-17j)
3.99609375	(-0.34839350138072622265+2.4620733147620349653e-18j)
4.01953125	(-0.34814212036636993375+1.780953387214163964e-17j)
4.04296875	(-0.34789293467679044403+1.8455633619531976544e-17j)
4.06640625	(-0.347645917028106044+8.205476580161180842e-18j)
4.08984375	(-0.3474010413002587283+4.571724330526038563e-18j)
4.11328125	(-0.34715828110572871656+5.242305108530340965e-18j)
4.13671875	(-0.34691761118576236456+1.7093142246384644456e-17j)
