n_up	n_dn	g_diff_up	g_diff_dn
0.5000000000000008882	0.5000000000000008882	1.8617793354218707557e-15	1.8617793354218707557e-15
0.50000000000000077716	0.50000000000000077716	5.8012385354353039403e-16	5.8012385354353039403e-16
0.50000000000000077716	0.50000000000000077716	8.000583581015780569e-16	8.000583581015780569e-16
0.50000000000000077716	0.50000000000000077716	2.0873853449532649549e-15	2.0873853449532649549e-15
0.5000000000000008882	0.5000000000000008882	2.3378280340855294882e-15	2.3378280340855294882e-15
0.5000000000000009992	0.5000000000000009992	1.6030780963879084233e-15	1.6030780963879084233e-15
0.5000000000000011102	0.5000000000000011102	3.0869895720012641634e-15	3.0869895720012641634e-15
0.50000000000000122125	0.50000000000000122125	8.4615175584598018664e-15	8.4615175584598018664e-15
0.5000000000000015543	0.5000000000000015543	1.35667664491775722846e-14	1.35667664491775722846e-14
0.5000000000000021094	0.5000000000000021094	2.4882865203597643205e-14	2.4882865203597643205e-14
0.5000000000000031086	0.5000000000000031086	6.204404363900911896e-14	6.204404363900911896e-14
0.50000000000000577316	0.50000000000000577316	1.7363015516800358522e-13	1.7363015516800358522e-13
0.5000000000000129896	0.5000000000000129896	6.1139973052205586415e-13	6.1139973052205586415e-13
0.5000000000000384137	0.5000000000000384137	2.7474397490252065344e-12	2.7474397490252065344e-12
0.5000000000001528777	0.5000000000001528777	1.3315736147048154049e-11	1.3315736147048154049e-11
0.50000000000070754513	0.50000000000070754513	4.7297080971801841874e-11	4.7297080971801841874e-11
0.5000000000026777469	0.5000000000026777469	1.308009698735709309e-10	1.308009698735709309e-10
0.5000000000081264995	0.5000000000081264995	3.4730764809537795708e-10	3.4730764809537795708e-10
0.50000000002259403775	0.50000000002259403775	9.027314148355228283e-10	9.027314148355228283e-10
0.50000000006019851284	0.50000000006019851284	2.3329809402000097825e-09	2.3329809402000097825e-09
0.5000000001573819963	0.5000000001573819963	6.0170442677354829888e-09	6.0170442677354829888e-09
0.5000000004080301652	0.5000000004080301652	1.5508016947561177318e-08	1.5508016947561177318e-08
0.50000000105403763495	0.50000000105403763495	3.9958504322509013653e-08	3.9958504322509013653e-08
