wn	g_0_wn_up
-122.849362724750861275	(2.3010049456509250654e-19+0.008138762044047741923j)
-122.71846303085129648	(3.0456507054028683304e-19+0.0081474416355930678185j)
-122.587563336951731685	(-5.4056314601400259433e-19+0.0081561397564913918484j)
-122.45666364305213847	(1.1039260048927047735e-19+0.0081648564661374704865j)
-122.32576394915257367	(-6.793451602640410538e-20+0.008173591824180127807j)
-122.19486425525299467	(3.1221068825620150973e-19+0.008182345890523636325j)
-122.06396456135341566	(3.4790926095630841626e-20+0.008191118725329073549j)
-121.933064867453836655	(1.790590460266116154e-18+0.008199910389015708026j)
-121.80216517355427186	(1.4875224073136590094e-21+0.008208720942262373241j)
-121.671265479654707065	(1.9324469174553677836e-19+0.008217550446008884887j)
-121.54036578575511385	(3.6517774121949069128e-19+0.008226398961457413034j)
-121.40946609185554905	(-3.390063374407041771e-21+0.008235266550073927147j)
-121.278566397955970046	(-5.599845128357418949e-19+0.008244153273589601219j)
-121.14766670405640525	(-6.745479194858796989e-19+0.008253059194002251853j)
-121.016767010156812034	(3.6564453906536187078e-19+0.008261984373577771143j)
-120.88586731625724724	(1.5485656607260109299e-19+0.008270928874851590784j)
-120.754967622357682444	(-9.868242465059608748e-19+0.0082798927606301288284j)
-120.62406792845808923	(4.779657594861122261e-19+0.0082888760939922659365j)
-120.49316823455852443	(-9.009756079588953468e-20+0.008297878938290825096j)
-120.362268540658945426	(4.351652224827751973e-19+0.008306901357154056545j)
-120.23136884675938063	(5.4967857716789595587e-20+0.0083159434144871331035j)
-120.100469152859787414	(4.3138972330088250268e-19+0.008325005174473673261j)
-119.96956945896022262	(2.9248158443830408932e-19+0.008334086701577236508j)
-119.838669765060657824	(4.0036125024634126803e-19+0.0083431880605428724446j)
-119.70777007116107882	(-7.1407944351438901967e-19+0.0083523093163986456j)
-119.57687037726149981	(-1.6902549441359302586e-19+0.008361450534457186279j)
-119.445970683361920806	(-4.2783622845502107355e-19+0.00837061178031725181j)
-119.31507098946235601	(-4.3592278058210167787e-19+0.008379793119865293002j)
-119.18417129556276279	(1.7946618027496359077e-19+0.008388994619277032744j)
-119.053271601663198	(3.5414007873429197748e-19+0.0083982163450190515375j)
-118.9223719077636332	(3.3668743823564058168e-18+0.008407458363850390387j)
-118.7914722138640542	(2.8754339988250946135e-18+0.008416720742824174498j)
-118.66057251996447519	(4.6691563310674842375e-19+0.008426003549289205752j)
-118.529672826064896185	(1.864704424639844919e-19+0.008435306850891612432j)
-118.39877313216533139	(2.11463271233160919e-19+0.008444630715576497207j)
-118.267873438265766595	(9.666870480591173585e-19+0.008453975211589572977j)
-118.13697374436617338	(-3.3922415292777167148e-18+0.008463340407478833413j)
-118.00607405046660858	(-9.248852305323157672e-19+0.008472726372096251249j)
-117.87517435656702958	(-1.7332414637564955224e-18+0.008482133174599415862j)
-117.74427466266745057	(1.5914679370101897162e-18+0.008491560884453287078j)
-117.613374968767871565	(1.6532150098533308256e-19+0.008501009571431844894j)
