tau	g_0_tau_up
0.01171875	(-0.4983370184663414859-1.3220324523801253473e-15j)
0.03515625	(-0.49505779472012712006-1.3168649278660197894e-15j)
0.05859375	(-0.49184622152309170895-1.3059961630300693877e-15j)
0.08203125	(-0.48869753124616810425-1.3197871615918321784e-15j)
0.10546875	(-0.485611076909561179-1.35411816676114038935e-15j)
0.12890625	(-0.4825843683904144088-1.2970812199802393731e-15j)
0.15234375	(-0.47961609484950429305-1.3255926717166591708e-15j)
0.17578125	(-0.47670426993602793564-1.3317651098791280074e-15j)
0.19921875	(-0.47384748673218762827-1.3253937334050141115e-15j)
0.22265625	(-0.47104400427054848866-1.3163187849103478131e-15j)
0.24609375	(-0.4682924371501208105-1.3229125938528595344e-15j)
0.26953125	(-0.465591210176729553-1.328985242027596361e-15j)
0.29296875	(-0.46293899471397337297-1.3211368861021548203e-15j)
0.31640625	(-0.46033434572434989152-1.2808346985620642339e-15j)
0.33984375	(-0.45777600271618745786-1.3326666166203680617e-15j)
0.36328125	(-0.45526263056176463628-1.3049669404832847286e-15j)
0.38671875	(-0.45279303954968874724-1.3453927893880688093e-15j)
0.41015625	(-0.45036599092130835675-1.2850390721376517722e-15j)
0.43359375	(-0.4479803647358139851-1.3050770544476185275e-15j)
0.45703125	(-0.44563500850722248536-1.325186554147111764e-15j)
0.48046875	(-0.443328869445549556-1.3243871844582767172e-15j)
0.50390625	(-0.44106087325366832852-1.3027437921363028298e-15j)
0.52734375	(-0.43883003097307210494-1.3236710043236461284e-15j)
0.55078125	(-0.4366353397174170814-1.3085644262828157255e-15j)
0.57421875	(-0.43447587078108607095-1.3079486835469181372e-15j)
0.59765625	(-0.4323506868319876295-1.3251619468939062009e-15j)
0.62109375	(-0.43025891580345554388-1.3304963223227937341e-15j)
0.64453125	(-0.42819968075595771229-1.2932002438040641343e-15j)
0.66796875	(-0.42617216272910363184-1.26120614039428701995e-15j)
0.69140625	(-0.4241755405652911648-1.2923022365925773506e-15j)
0.71484375	(-0.4222090450193579647-1.3160122458330977107e-15j)
0.73828125	(-0.4202719065588992886-1.2913989832465491934e-15j)
0.76171875	(-0.41836340243415742757-1.3044608434757954459e-15j)
0.78515625	(-0.41648281096566874826-1.3074040733978494948e-15j)
0.80859375	(-0.41462945286273616974-1.3195405183719315537e-15j)
0.83203125	(-0.41280265085902367872-1.3201150116958655177e-15j)
