tau	g_0_tau_up
0.01171875	(-0.49812975090685696067-3.7907104499897397775e-14j)
0.03515625	(-0.49443600647595092878-3.786959207921439998e-14j)
0.05859375	(-0.49080995588537024155-3.7903773356461956072e-14j)
0.08203125	(-0.48724686029676406163-3.7869478910334200523e-14j)
0.10546875	(-0.48374610142014268233-3.7887856049957050697e-14j)
0.12890625	(-0.48030521768662709503-3.786621041223391482e-14j)
0.15234375	(-0.4769229266431769254-3.788211823781220695e-14j)
0.17578125	(-0.47359727012815755476-3.7878552752873304817e-14j)
0.19921875	(-0.47032686918927657516-3.79100306331028632e-14j)
0.22265625	(-0.46711001057669043757-3.7843620143660429163e-14j)
0.24609375	(-0.46394533633707812914-3.7874635222635895626e-14j)
0.26953125	(-0.46083129843409187387-3.788180792933322293e-14j)
0.29296875	(-0.45776659508134998067-3.782396648388270614e-14j)
0.31640625	(-0.45474980776741236177-3.7770846593593059703e-14j)
0.33984375	(-0.45177970218825935778-3.7811791838493014857e-14j)
0.36328125	(-0.44885496905253968736-3.782691922938033624e-14j)
0.38671875	(-0.44597444412254505508-3.7797328268095049528e-14j)
0.41015625	(-0.4431369137405905545-3.7798843495223293052e-14j)
0.43359375	(-0.44034128268535516204-3.7757928266183141183e-14j)
0.45703125	(-0.43758642280129000923-3.7780466172145134327e-14j)
0.48046875	(-0.434871305233313743-3.77186374589363362e-14j)
0.50390625	(-0.43219487921821775345-3.7695492206879911842e-14j)
0.52734375	(-0.4295561789259162433-3.767864170098838446e-14j)
0.55078125	(-0.42695422418935857767-3.7666560386051165413e-14j)
0.57421875	(-0.42438810861027542742-3.7682931192999969524e-14j)
0.59765625	(-0.4218569167499086059-3.7658759217776832135e-14j)
0.62109375	(-0.41935979801953932045-3.7617664135691894145e-14j)
0.64453125	(-0.41689589654146641529-3.760021326993552784e-14j)
0.66796875	(-0.4144644140008730271-3.7538460616277011663e-14j)
0.69140625	(-0.41206454946987902677-3.7516900957544209854e-14j)
0.71484375	(-0.40969555351810138522-3.7482654418871941697e-14j)
0.73828125	(-0.40735667601433417362-3.7469378847673718682e-14j)
0.76171875	(-0.40504721319823094872-3.7505287913567027528e-14j)
0.78515625	(-0.40276646197012244688-3.747361942535928612e-14j)
0.80859375	(-0.40051376121201931468-3.7410684028001663845e-14j)
0.83203125	(-0.39828845142605273644-3.7401403988522562883e-14j)
0.85546875	(-0.39608991129740139803-3.7383756440085606903e-14j)
0.87890625	(-0.39391752179457373284-3.7350467024793365984e-14j)
0.90234375	(-0.39177069875133552213-3.731143234211528171e-14j)
0.92578125	(-0.38964886072828680552-3.7248539468941113687e-14j)
0.94921875	(-0.38755145823074632627-3.7282984103583740545e-14j)
0.97265625	(-0.38547794477076874342-3.7207105713470791188e-14j)
0.99609375	(-0.3834278032169709527-3.713803997990153388e-14j)
1.01953125	(-0.38140051960260057395-3.7160154731763941993e-14j)
1.04296875	(-0.37939560701053687275-3.7123400454288918834e-14j)
1.06640625	(-0.37741258175531411379-3.7039145312026233438e-14j)
1.08984375	(-0.37545098513444213895-3.7028946961032897864e-14j)
1.11328125	(-0.37351036167672524435-3.6982206841519463696e-14j)
1.13671875	(-0.3715902790343638129-3.6897070261213974685e-14j)
1.16015625	(-0.3696903080409302822-3.6892052322987401243e-14j)
1.18359375	(-0.36781004097362823835-3.6929418512955728428e-14j)
1.20703125	(-0.36594907320515590587-3.68457387695212538e-14j)
1.23046875	(-0.3641070200292785275-3.6839992873409211083e-14j)
1.25390625	(-0.36228349972382434263-3.677156599377814005e-14j)
1.27734375	(-0.36047814910338527028-3.668098585266721331e-14j)
1.30078125	(-0.35869060783760364775-3.6677631777006924504e-14j)
1.32421875	(-0.3569205328708296987-3.6665949168449931208e-14j)
1.34765625	(-0.3551675838619924308-3.6585830511240499392e-14j)
1.37109375	(-0.35343143659127385092-3.659932976089962082e-14j)
1.39453125	(-0.35171176940619042206-3.6530717386429775077e-14j)
1.41796875	(-0.35000827571894832513-3.645264339303254305e-14j)
1.44140625	(-0.3483206513586477593-3.641744366763618668e-14j)
1.46484375	(-0.3466486062492904474-3.6371195132668601193e-14j)
1.48828125	(-0.34499185258085429684-3.6329971221821678948e-14j)
1.51171875	(-0.34335011574641438603-3.6324525503694739926e-14j)
1.53515625	(-0.34172312325566622793-3.624037659589346192e-14j)
1.55859375	(-0.34011061499990113965-3.6223878132986927134e-14j)
1.58203125	(-0.33851233284076243102-3.6184329369069735907e-14j)
1.60546875	(-0.3369280302635423996-3.6092050830429631667e-14j)
1.62890625	(-0.33535746258181359236-3.6015803811722793845e-14j)
1.65234375	(-0.33380039603245276192-3.605321959706250545e-14j)
1.67578125	(-0.33225659854353040146-3.5976480675138487962e-14j)
1.69921875	(-0.33072584831841478348-3.593637410797228104e-14j)
1.72265625	(-0.32920792512010477182-3.5855770522056871944e-14j)
1.74609375	(-0.3277026183865311415-3.5799188169623147506e-14j)
1.76953125	(-0.32620971898956968582-3.5796123768167272667e-14j)
1.79296875	(-0.32472902691912469697-3.5713492753264714207e-14j)
1.81640625	(-0.32326034347941867697-3.5670283242644520978e-14j)
1.83984375	(-0.3218034785755289895-3.5563805064218293318e-14j)
1.86328125	(-0.32035824331335194248-3.5539951762773220065e-14j)
1.88671875	(-0.31892445691883974934-3.5510573044107923088e-14j)
1.91015625	(-0.31750193971137852245-3.5397610332954813084e-14j)
1.93359375	(-0.3160905196829585928-3.5486975968130376552e-14j)
1.95703125	(-0.31469002581765315174-3.5297929541748988772e-14j)
1.98046875	(-0.31330029435530720727-3.5287933737198978964e-14j)
2.00390625	(-0.31192116243239464968-3.5203325138523664307e-14j)
2.02734375	(-0.3105524740524889804-3.5193044470548272942e-14j)
2.05078125	(-0.30919407402606113866-3.5169566449194255025e-14j)
2.07421875	(-0.3078458136679326218-3.5053382878784532114e-14j)
2.09765625	(-0.306507545015609284-3.505971298757546495e-14j)
2.12109375	(-0.3051791262721081921-3.4989685073364554174e-14j)
2.14453125	(-0.30386041628421567307-3.4976500185976879036e-14j)
2.16796875	(-0.30255127974744200348-3.486377051224737678e-14j)
2.19140625	(-0.30125158192722795159-3.4851520245721742563e-14j)
2.21484375	(-0.29996119364133555507-3.475269983305731415e-14j)
2.23828125	(-0.2986799862084444923-3.475000897357923883e-14j)
2.26171875	(-0.2974078362220027305-3.465083420835538503e-14j)
2.28515625	(-0.296144620711964901-3.4615058728684413405e-14j)
2.30859375	(-0.29489022172294715451-3.44906742539353652e-14j)
2.33203125	(-0.293644521676015402-3.4483488243132180205e-14j)
2.35546875	(-0.29240740776296536563-3.442143481297168836e-14j)
2.37890625	(-0.2911787674961078265-3.4376130825102421942e-14j)
2.40234375	(-0.28995849292954944953-3.4347255454352934827e-14j)
2.42578125	(-0.28874647638586975473-3.4285037261877475122e-14j)
2.44921875	(-0.28754261451443491326-3.4170173963956025144e-14j)
2.47265625	(-0.28634680418471197827-3.4108504505659206433e-14j)
2.49609375	(-0.28515894639088307239-3.407874077815594722e-14j)
2.51953125	(-0.28397894230231268686-3.3981184755828956765e-14j)
2.54296875	(-0.2828066970230384003-3.3938975360715200203e-14j)
2.56640625	(-0.28164211579061715351-3.3852394995690516102e-14j)
2.58984375	(-0.28048510759842520956-3.3833398655473392806e-14j)
2.61328125	(-0.27933558153474680186-3.3802502606426669195e-14j)
2.63671875	(-0.2781934502752582139-3.3721730115400049287e-14j)
2.66015625	(-0.27705862655479857048-3.3679243187335512234e-14j)
2.68359375	(-0.2759310265368840609-3.3548481588469398528e-14j)
2.70703125	(-0.27481056641113443817-3.35433537635032843e-14j)
2.73046875	(-0.27369716564619206434-3.3456628487119695052e-14j)
2.75390625	(-0.27259074370625840933-3.334958536015492289e-14j)
2.77734375	(-0.2714912231933603315-3.338025026047264243e-14j)
2.80078125	(-0.27039852667689479038-3.330708554723584543e-14j)
2.82421875	(-0.2693125797307746594-3.3259008976236206007e-14j)
2.84765625	(-0.2682333078703053042-3.3188834776374729837e-14j)
2.87109375	(-0.26716063948937968098-3.3135562225069200034e-14j)
2.89453125	(-0.2660945028993554895-3.3046283906458712205e-14j)
2.91796875	(-0.26503482917115228634-3.3022430850203763065e-14j)
2.94140625	(-0.26398154927115574653-3.292102108756361024e-14j)
2.96484375	(-0.2629345968127344002-3.28214158947031839e-14j)
2.98828125	(-0.26189390528452927143-3.2839808804940161028e-14j)
3.01171875	(-0.26085941071562535054-3.2744752509327277353e-14j)
3.03515625	(-0.25983104899186149073-3.2682352072557127608e-14j)
3.05859375	(-0.25880875843864664665-3.25964129468354862e-14j)
3.08203125	(-0.25779247722118664443-3.2578183710481658455e-14j)
3.10546875	(-0.2567821458486913011-3.246495305877772881e-14j)
3.12890625	(-0.25577770465467331018-3.2381548802193862013e-14j)
3.15234375	(-0.25477909622605399154-3.2387634204248569464e-14j)
3.17578125	(-0.25378626295992195994-3.2300013989510796697e-14j)
3.19921875	(-0.25279914942085579543-3.2254071909416061865e-14j)
3.22265625	(-0.25181769997073338851-3.218236895198318306e-14j)
3.24609375	(-0.25084186105738137673-3.2108923857537021262e-14j)
3.26953125	(-0.24987157891424327527-3.2101008804276722603e-14j)
3.29296875	(-0.2489068017832886115-3.1992076183173486133e-14j)
3.31640625	(-0.24794747768151842449-3.1944958273282626374e-14j)
3.33984375	(-0.24699355656091048772-3.1789318953554437446e-14j)
3.36328125	(-0.24604498813891095832-3.1794804912294882126e-14j)
3.38671875	(-0.24510172399803331622-3.1772287184042534995e-14j)
3.41015625	(-0.24416371547764958994-3.1693243361254085342e-14j)
3.43359375	(-0.24323091571571420211-3.158314249518735706e-14j)
3.45703125	(-0.24230327759931347131-3.1581539656698926428e-14j)
3.48046875	(-0.24138075575085810032-3.144410479650794847e-14j)
3.50390625	(-0.24046330453498732105-3.144422157352413049e-14j)
3.52734375	(-0.23955087999144336619-3.133695643500526185e-14j)
3.55078125	(-0.23864343789605568791-3.129498640452301603e-14j)
3.57421875	(-0.23774093564240039722-3.1214215796779862062e-14j)
3.59765625	(-0.23684333035470644946-3.1155319186380146192e-14j)
3.62109375	(-0.23595058072029573282-3.110613439346846013e-14j)
3.64453125	(-0.23506264515236896528-3.103353153473559013e-14j)
