wn	g_0_wn_up
-133.97583670621472152	(-8.282358816040067152e-20+0.007462967010375609264j)
-133.84493701231514251	(4.3092712518741282407e-19+0.007470264608637054715j)
-133.7140373184155635	(3.6049007775957938047e-19+0.0074775764901958063566j)
-133.58313762451601292	(-1.5729519516452817455e-19+0.0074849026970237432857j)
-133.45223793061640549	(7.817351575815410436e-19+0.0074922432712580646144j)
-133.32133823671685491	(-1.9493735926315174282e-19+0.007499598255201977287j)
-133.1904385428172759	(3.0117207868264152153e-19+0.0075069676913253379283j)
-133.0595388489176969	(-5.3389888861100645703e-20+0.007514351622265305966j)
-132.92863915501811789	(3.2616838940460073437e-19+0.007521750090827072216j)
-132.79773946111853888	(5.633365071889615699e-19+0.0075291631399846473127j)
-132.6668397672189883	(-1.9726566101533003861e-19+0.0075365908128816432032j)
-132.53594007331938087	(9.533681529504132931e-19+0.0075440331528320884666j)
-132.40504037941983029	(3.8829811433643204802e-20+0.0075514902033212427668j)
-132.27414068552025128	(-4.2446043307830322115e-19+0.00755896200800645901j)
-132.14324099162067228	(-1.153835863293078437e-18+0.0075664486107179960636j)
-132.01234129772109327	(3.113632253259765073e-19+0.007573950055459902596j)
-131.88144160382151426	(1.4592008241339184008e-18+0.0075814663864108323976j)
-131.75054190992196368	(5.8901651274868438935e-21+0.0075889976479249516422j)
-131.61964221602235625	(3.5606188968430852455e-19+0.007596543884532784563j)
-131.48874252212280567	(2.312010122735614996e-19+0.0076041051409420912233j)
-131.35784282822322666	(1.3796862685401214622e-19+0.0076116814620387539606j)
-131.22694313432364766	(-1.0789436991062247351e-18+0.007619272892887659493j)
-131.09604344042406865	(1.4035278743470469664e-19+0.0076268794787335957713j)
-130.96514374652448964	(1.945445659926594024e-19+0.00763450126500214276j)
-130.83424405262493906	(-6.480032705928786184e-19+0.007642138297300584901j)
-130.70334435872536005	(1.3257476545034982524e-19+0.0076497906214188105684j)
-130.57244466482578105	(6.0731544968889101954e-20+0.0076574582833302366758j)
-130.44154497092620204	(1.7877663413726939912e-19+0.007665141329192718539j)
-130.31064527702662303	(1.5994505289457112675e-19+0.0076728398053494805547j)
-130.17974558312704403	(2.574362802047562483e-19+0.0076805537583300425436j)
-130.04884588922746502	(6.474783891658619355e-19+0.007688283234851167776j)
-129.91794619532791444	(8.207306052323412046e-19+0.0076960282818177953856j)
-129.78704650142833543	(3.3353182121862839897e-19+0.007703788946323988397j)
-129.65614680752875643	(2.8659100587041636786e-19+0.0077115652756538938944j)
-129.52524711362917742	(1.8478654758445047172e-19+0.0077193573172827031903j)
-129.39434741972959841	(5.4124494424670532773e-19+0.0077271651188776050573j)
-129.26344772583004783	(-2.4133782082197439252e-19+0.007734988728298772785j)
-129.1325480319304404	(-1.1832525839777431359e-18+0.0077428281936003390956j)
-129.00164833803088982	(3.422788089010901775e-20+0.007750683563031355444j)
-128.87074864413131081	(6.61602518190537305e-18+0.007758554885036826783j)
-128.7398489502317318	(2.9573398073388941554e-19+0.0077664422082586778012j)
-128.6089492563321528	(-4.9041382298460429736e-20+0.007774345581536739984j)
-128.4780495624325738	(6.4650405726594759506e-19+0.007782265053909788975j)
-128.34714986853302321	(-6.2703496164104536614e-19+0.0077902006746165472495j)
-128.21625017463341578	(1.0250153336358846299e-18+0.0077981524930967102j)
-128.0853504807338652	(-1.0207260448648427432e-19+0.007806120558991951411j)
-127.95445078683428619	(-1.8586710062975857386e-19+0.007814104922146979104j)
-127.823551092934721396	(7.0183904661035784466e-19+0.007822105632610567433j)
-127.69265139903512818	(4.576218092860055254e-19+0.00783012274063659558j)
-127.561751705135563384	(6.9028169060699433152e-19+0.007838156296685100735j)
-127.43085201123598438	(-2.6377025251615359034e-19+0.007846206351423348421j)
-127.29995231733640537	(6.5981908761399241286e-19+0.007854272955726883734j)
-127.169052623436826366	(2.0726894097674239119e-19+0.007862356160680606873j)
-127.03815292953726157	(4.3269668074493567609e-19+0.007870456017579852137j)
-126.907253235637696775	(-3.3692348713711761555e-18+0.007878572577931463455j)
-126.77635354173810356	(3.127936900176660301e-19+0.007886705893454921956j)
-126.64545384783853876	(-3.8351122181901118157e-18+0.007894856016083378128j)
-126.51455415393895976	(1.1574499073221120923e-18+0.007903022997964817553j)
-126.38365446003939496	(1.9680159597752595295e-19+0.007911206891463143376j)
-126.252754766139801745	(8.189937192935265781e-19+0.007919407749159312546j)
-126.12185507224023695	(-3.8455977027522524022e-19+0.007927625623852430428j)
-125.990955378340672155	(-8.4947497261299891473e-19+0.00793586056856091307j)
-125.86005568444107894	(-2.6787803948370057223e-19+0.00794411263652363038j)
-125.72915599054151414	(2.0254026991941961261e-19+0.007952381881201007682j)
-125.59825629664193514	(4.956866474411717054e-19+0.007960668356276246957j)
-125.46735660274237034	(1.1151345984862237642e-18+0.007968972115656428393j)
-125.336456908842777125	(8.955056945309121255e-19+0.007977293213473714284j)
-125.20555721494321233	(9.153956598668185412e-20+0.007985631704086504357j)
-125.074657521043647534	(3.6251364726044785125e-19+0.007993987642080641401j)
-124.94375782714405432	(1.1127949658726483984e-18+0.008002361082270575271j)
-124.81285813324448952	(-1.03310774044374495145e-18+0.008010752079700585865j)
-124.681958439344910516	(2.4681580202219224499e-19+0.0080191606896459679404j)
-124.55105874544534572	(1.03886670912645452534e-19+0.008027586967614257565j)
-124.420159051545752504	(9.19257047933060212e-19+0.008036030969346455097j)
-124.28925935764618771	(4.272779283702991253e-19+0.0080444927508182342835j)
-124.158359663746622914	(4.4725831268155607202e-20+0.008052972368241199941j)
-124.02745996984704391	(1.9141490894501308157e-19+0.008061469878064128278j)
-123.8965602759474649	(8.3915036923177076137e-19+0.008069985336974205489j)
-123.765660582047885896	(-3.4572330331021924316e-19+0.0080785188018983027786j)
-123.6347608881483211	(7.9039103950255402746e-20+0.0080870703300042375006j)
-123.503861194248727884	(5.1808428703364425574e-19+0.008095639978702053388j)
-123.37296150034916309	(3.1882585626737293983e-19+0.008104227805645295574j)
-123.242061806449598294	(2.7330360302326615974e-19+0.008112833868732311632j)
-123.11116211255001929	(-5.808894746104836221e-20+0.008121458226107549153j)
-122.98026241865044028	(1.0250830767175893719e-18+0.008130100936162874131j)
-122.849362724750861275	(3.1494724501210183153e-19+0.008138762057538858133j)
-122.71846303085129648	(4.1149574742756598669e-19+0.0081474416491261487244j)
-122.587563336951731685	(-4.40116039540449419e-19+0.008156139770066761843j)
-122.45666364305213847	(2.2426102558994201242e-19+0.008164856479755450494j)
-122.32576394915257367	(-1.27622482799396854045e-20+0.00817359183784104916j)
-122.19486425525299467	(4.3521073170627482957e-19+0.0081823459042278268855j)
-122.06396456135341566	(2.8805575713670856288e-20+0.008191118739076868119j)
-121.933064867453836655	(2.0128831846713426992e-18+0.008199910402807436202j)
-121.80216517355427186	(1.3246144891209200435e-20+0.0082087209560983750295j)
-121.671265479654707065	(3.1210826694029069047e-19+0.0082175504598894933556j)
-121.54036578575511385	(3.6715191565800806176e-19+0.008226398975382976861j)
-121.40946609185554905	(1.0282220827811753742e-19+0.008235266564044781135j)
-121.278566397955970046	(-5.444968609321025526e-19+0.0082441532876060940466j)
-121.14766670405640525	(-5.077637514776114746e-19+0.00825305920806472873j)
-121.016767010156812034	(4.022568302129567268e-19+0.008261984387686584219j)
-120.88586731625724724	(2.2351780239967830125e-19+0.008270928889007090473j)
-120.754967622357682444	(-7.692979627913537903e-19+0.008279892774832669014j)
-120.62406792845808923	(5.3261955523704993956e-19+0.008288876108242203972j)
-120.49316823455852443	(-1.261160740464113289e-19+0.008297878952588520068j)
-120.362268540658945426	(5.1528057257989691647e-19+0.008306901371499869277j)
-120.23136884675938063	(2.760264275348178562e-19+0.008315943428881429622j)
-120.100469152859787414	(6.032842887305666248e-19+0.008325005188916817858j)
-119.96956945896022262	(4.5963863433014109827e-19+0.00833408671606959868j)
-119.838669765060657824	(4.564165136567949171e-19+0.008343188075084823421j)
-119.70777007116107882	(-5.174394546031868241e-19+0.008352309330990560082j)
-119.57687037726149981	(1.188182057262212329e-19+0.008361450549099442436j)
-119.445970683361920806	(-3.1369874887099338342e-19+0.0083706117950102278125j)
-119.31507098946235601	(-2.2355903050206681844e-19+0.008379793134609368754j)
-119.18417129556276279	(3.910457173363366075e-19+0.0083889946340725950885j)
-119.053271601663198	(3.6266426174214789723e-19+0.008398216359866483849j)
-118.9223719077636332	(3.4353706001720733836e-18+0.008407458378750089917j)
-118.7914722138640542	(3.016942791141542555e-18+0.008416720757776529824j)
-118.66057251996447519	(4.619080719314631878e-19+0.008426003564294614126j)
-118.529672826064896185	(2.7885763084845966344e-19+0.0084353068659504728405j)
-118.39877313216533139	(3.0960844234300299342e-19+0.008444630730689208636j)
-118.267873438265766595	(8.3317546457231553037e-19+0.008453975226756539618j)
-118.13697374436617338	(-3.518306627791821145e-18+0.00846334042270046466j)
-118.00607405046660858	(-7.883985089088118342e-19+0.0084727263873729530275j)
-117.87517435656702958	(-1.178231244863545392e-18+0.0084821331899316045055j)
-117.74427466266745057	(1.5498117059640860543e-18+0.008491560899841373716j)
-117.613374968767871565	(3.7066581689530489672e-19+0.008501009586876256269j)
-117.48247527486830677	(3.4404012600594014135e-19+0.008510479321121023483j)
-117.351575580968741974	(7.942511186833965605e-20+0.008519970172972964051j)
-117.22067588706914876	(4.829609926128487197e-19+0.008529482213143604885j)
-117.08977619316958396	(9.0826245205436437157e-20+0.008539015512660464921j)
