n_up	n_dn	g_diff_up	g_diff_dn
0.5000000000000002	0.5000000000000002	1.5500324858004057e-15	1.5500324858004057e-15
0.5000000000000002	0.5000000000000002	2.6821845432543605e-16	2.6821845432543605e-16
0.5000000000000003	0.5000000000000003	2.2294205216162464e-15	2.2294205216162464e-15
0.5000000000000003	0.5000000000000003	3.521872091433008e-15	3.521872091433008e-15
0.5000000000000002	0.5000000000000002	2.4525628660508006e-15	2.4525628660508006e-15
0.5000000000000003	0.5000000000000003	2.514282750471969e-15	2.514282750471969e-15
0.5000000000000002	0.5000000000000002	3.4011167959548602e-15	3.4011167959548602e-15
0.5000000000000003	0.5000000000000003	4.299115735548017e-15	4.299115735548017e-15
0.5000000000000002	0.5000000000000002	4.3989623411212936e-15	4.3989623411212936e-15
0.5000000000000003	0.5000000000000003	1.608518542890199e-15	1.608518542890199e-15
