n_up	n_dn	g_diff_up	g_diff_dn
0.5000000000000016	0.5000000000000016	2.9352116235820086e-15	2.9352116235820086e-15
0.5000000000000017	0.5000000000000017	2.5499724449486493e-15	2.5499724449486493e-15
0.5000000000000017	0.5000000000000017	1.2852199917812255e-15	1.2852199917812255e-15
0.5000000000000017	0.5000000000000017	1.2726963235569932e-15	1.2726963235569932e-15
0.5000000000000017	0.5000000000000017	4.0212793177147495e-15	4.0212793177147495e-15
0.5000000000000016	0.5000000000000016	1.089380178580639e-14	1.089380178580639e-14
0.5000000000000018	0.5000000000000018	1.2651732851220854e-14	1.2651732851220854e-14
0.5000000000000016	0.5000000000000016	1.6520114786922964e-14	1.6520114786922964e-14
0.5000000000000018	0.5000000000000018	8.069008752220177e-15	8.069008752220177e-15
0.5000000000000017	0.5000000000000017	8.087757886967963e-16	8.087757886967963e-16
0.5000000000000017	0.5000000000000017	5.8809998105758605e-15	5.8809998105758605e-15
