n_up	n_dn	g_diff_up	g_diff_dn
0.5000000000000011	0.5000000000000011	1.0096205315808409e-15	1.0096205315808409e-15
0.5000000000000011	0.5000000000000011	1.195232070553497e-16	1.195232070553497e-16
0.5000000000000011	0.5000000000000011	4.938303821504331e-16	4.938303821504331e-16
0.5000000000000011	0.5000000000000011	6.367349190521858e-16	6.367349190521858e-16
0.5000000000000011	0.5000000000000011	5.600069770640612e-16	5.600069770640612e-16
0.5000000000000011	0.5000000000000011	4.743860298519986e-16	4.743860298519986e-16
0.5000000000000011	0.5000000000000011	1.3769604237917863e-15	1.3769604237917863e-15
0.5000000000000011	0.5000000000000011	1.4293438096019942e-15	1.4293438096019942e-15
0.500000000000001	0.500000000000001	3.103937698244851e-15	3.103937698244851e-15
0.500000000000001	0.500000000000001	4.424452098932296e-15	4.424452098932296e-15
0.5000000000000009	0.5000000000000009	6.440232492373951e-15	6.440232492373951e-15
0.5000000000000007	0.5000000000000007	6.346737633791115e-15	6.346737633791115e-15
0.5000000000000006	0.5000000000000006	3.28005212761673e-15	3.28005212761673e-15
0.5000000000000004	0.5000000000000004	2.060316868418887e-15	2.060316868418887e-15
0.5000000000000004	0.5000000000000004	9.436613964177181e-16	9.436613964177181e-16
0.5000000000000004	0.5000000000000004	3.9772617843854613e-16	3.9772617843854613e-16
0.5000000000000004	0.5000000000000004	1.5755909350614673e-16	1.5755909350614673e-16
0.5000000000000004	0.5000000000000004	1.0478978107164501e-15	1.0478978107164501e-15
0.5000000000000003	0.5000000000000003	1.8846042234556873e-16	1.8846042234556873e-16
