n_up	n_dn	g_diff_up	g_diff_dn
0.5	0.5	2.4592767545092567e-16	2.4592767545092567e-16
0.5	0.5	1.0553204251861402e-17	1.0553204251861402e-17
0.5	0.5	6.677736052157117e-17	6.677736052157117e-17
0.5	0.5	6.835488052907751e-17	6.835488052907751e-17
0.5	0.5	5.275022972033221e-17	5.275022972033221e-17
0.5	0.5	1.4739974874575164e-17	1.4739974874575164e-17
0.5	0.5	2.0919321478136588e-17	2.0919321478136588e-17
0.5	0.5	4.40687150113313e-17	4.40687150113313e-17
0.5	0.5	5.0573884057162294e-17	5.0573884057162294e-17
